"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","32232","PORSCHE Cayenne","PORSCHE Cayenne 92A 3.6 DFI V6 24V 300 cv","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","41704","PORSCHE Cayenne","PORSCHE Cayenne 92A 4.2 TDi DPF V8 AWD 32V Tiptronic S 382 cv Caixa Automática","Diesel"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","32231","PORSCHE Cayenne","PORSCHE Cayenne 92A 3.0 TDi V6 24V Tiptronic S 240 cv Caixa Automática","Diesel"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","39300","PORSCHE Cayenne","PORSCHE Cayenne 92A 3.0 TDi DPF V6 24V Tiptronic S 245 cv Caixa Automática","Diesel"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","51929","PORSCHE Cayenne","PORSCHE Cayenne 92A Turbo S 4.8 DFI V8-520 AWD 32V Tiptronic S 519 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","32233","PORSCHE Cayenne","PORSCHE Cayenne 92A 3.6 DFI V6 24V Tiptronic S 300 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","56513","PORSCHE Cayenne","PORSCHE Cayenne 92A Turbo S 4.8 DFI V8 AWD 32V Tiptronic S 570 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","56512","PORSCHE Cayenne","PORSCHE Cayenne 92A GTS 3.6 Turbo V6 AWD 32V Tiptronic S 440 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","50427","PORSCHE Cayenne","PORSCHE Cayenne 92A S Hybrid 3.0 DFI V6 AWD 24V 333/416 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","39301","PORSCHE Cayenne","PORSCHE Cayenne 92A Turbo 4.8 DFI V8-540 AWD 32V Tiptronic S 540 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","48585","PORSCHE Cayenne","PORSCHE Cayenne 92A 3.0 TDi DPF V6-262 AWD 24V Tiptronic S 262 cv Caixa Automática","Diesel"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","48586","PORSCHE Cayenne","PORSCHE Cayenne 92A 4.2 TDi V8 AWD 32V Tiptronic S 385 cv Caixa Automática","Diesel"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","39299","PORSCHE Cayenne","PORSCHE Cayenne 92A 3.0 TDi DPF V6 24V Tiptronic S 211 cv Caixa Automática","Diesel"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","39302","PORSCHE Cayenne","PORSCHE Cayenne 92A Turbo S 4.8 DFI V8-550 AWD 32V Tiptronic S 550 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","32234","PORSCHE Cayenne","PORSCHE Cayenne 92A S Hybrid 3.0 DFI V6 24V 333/380 cv","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","32235","PORSCHE Cayenne","PORSCHE Cayenne 92A S 4.8 DFI V8 AWD 32V Tiptronic S 400 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","51930","PORSCHE Cayenne","PORSCHE Cayenne 92A S Hybrid 3.0 DFI V6 AWD 24V 416 cv","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","32236","PORSCHE Cayenne","PORSCHE Cayenne 92A Turbo 4.8 DFI V8 AWD 32V Tiptronic S 500 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-5048","92A (02/2010 - 05/2018)","02/2010","05/2018","51928","PORSCHE Cayenne","PORSCHE Cayenne 92A S 3.6 Turbo V6 AWD 32V Tiptronic S 420 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-584","9PA (01/2003 - 12/2006)","01/2003","12/2006","28012","PORSCHE Cayenne","PORSCHE Cayenne 9PA 4.5 i V8 Turbo AWD SUV 500 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-584","9PA (01/2003 - 12/2006)","01/2003","12/2006","17133","PORSCHE Cayenne","PORSCHE Cayenne 9PA 3.2 i V6 Break 250cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-584","9PA (01/2003 - 12/2006)","01/2003","12/2006","10830","PORSCHE Cayenne","PORSCHE Cayenne 9PA S 4.5 i V8 Break 340cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-584","9PA (01/2003 - 12/2006)","01/2003","12/2006","22366","PORSCHE Cayenne","PORSCHE Cayenne 9PA 4.5 i V8 Turbo Break 450cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-584","9PA (01/2003 - 12/2006)","01/2003","12/2006","7574","PORSCHE Cayenne","PORSCHE Cayenne 9PA 3.2 i V6 Break 250cv","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-584","9PA (01/2003 - 12/2006)","01/2003","12/2006","10829","PORSCHE Cayenne","PORSCHE Cayenne 9PA S 4.5 i V8 Break 340cv","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-584","9PA (01/2003 - 12/2006)","01/2003","12/2006","22367","PORSCHE Cayenne","PORSCHE Cayenne 9PA 4.5 i V8 Turbo Break 521cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-4896","9PA1 (12/2006 - 02/2010)","12/2006","02/2010","22369","PORSCHE Cayenne","PORSCHE Cayenne 9PA1 S 4.8 DFI V8 SUV 385cv Tiptronic Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-4896","9PA1 (12/2006 - 02/2010)","12/2006","02/2010","22368","PORSCHE Cayenne","PORSCHE Cayenne 9PA1 S 4.8 DFI V8 SUV 385cv","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-4896","9PA1 (12/2006 - 02/2010)","12/2006","02/2010","32229","PORSCHE Cayenne","PORSCHE Cayenne 9PA1 4.8 DFITurbo V8 AWD 32V Tiptronic S Kit E8A 560 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-4896","9PA1 (12/2006 - 02/2010)","12/2006","02/2010","32230","PORSCHE Cayenne","PORSCHE Cayenne 9PA1 4.8 DFI Turbo S V8 AWD 32V Tiptronic S 550 cv Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-4896","9PA1 (12/2006 - 02/2010)","12/2006","02/2010","17134","PORSCHE Cayenne","PORSCHE Cayenne 9PA1 Turbo 4.8 DFI V8 SUV 500cv Tiptronic S Caixa Automática","Essence"
"ma-170","PORSCHE","fa-634","Cayenne","mo-4896","9PA1 (12/2006 - 02/2010)","12/2006","02/2010","32225","PORSCHE Cayenne","PORSCHE Cayenne 9PA1 3.0 TDi V6 24V Tiptronic S 240 cv Caixa Automática","Diesel"
