brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-172,PROTON,fa-1852,Personna,mo-2839,PERSONA 300 (03/1996 - Hoy),03/1996,,26695,PROTON Personna,PROTON Personna PERSONA 300 1.8 GTi 140 cv,Gasolina
ma-172,PROTON,fa-1852,Personna,mo-2839,PERSONA 300 (03/1996 - Hoy),03/1996,,26507,PROTON Personna,PROTON Personna PERSONA 300 316 95 cv,Gasolina
ma-172,PROTON,fa-1852,Personna,mo-2839,PERSONA 300 (03/1996 - Hoy),03/1996,,26506,PROTON Personna,PROTON Personna PERSONA 300 318 16V GTI 135 cv,Gasolina
ma-172,PROTON,fa-1852,Personna,mo-2841,PERSONA 400 3/5 Puertas (01/1994 - Hoy),01/1994,,26683,PROTON Personna,PROTON Personna PERSONA 400 3/5 Puertas 1.8 135 cv,Gasolina
ma-172,PROTON,fa-1852,Personna,mo-2841,PERSONA 400 3/5 Puertas (01/1994 - Hoy),01/1994,,26195,PROTON Personna,PROTON Personna PERSONA 400 3/5 Puertas 416 i 95 cv,Gasolina
ma-172,PROTON,fa-1852,Personna,mo-3532,Persona (11/1993 - 03/2000),11/1993,03/2000,28151,PROTON Personna,PROTON Personna Persona 1.6 i Berlina 113 cv,Gasolina
ma-172,PROTON,fa-1852,Personna,mo-3532,Persona (11/1993 - 03/2000),11/1993,03/2000,28152,PROTON Personna,PROTON Personna Persona 1.5 i Berlina 90 cv,Gasolina
ma-172,PROTON,fa-1852,Personna,mo-2840,PERSONA 400 (01/1994 - Hoy),01/1994,,26685,PROTON Personna,PROTON Personna PERSONA 400 1.8 135 cv,Gasolina
ma-172,PROTON,fa-1852,Personna,mo-2840,PERSONA 400 (01/1994 - Hoy),01/1994,,26684,PROTON Personna,PROTON Personna PERSONA 400 1.6 95 cv,Gasolina
ma-172,PROTON,fa-1848,300 Series,mo-3527,300 (08/1996 - 12/2005),08/1996,12/2005,28131,PROTON 300 Series,PROTON 300 Series 300 316 1.6 i 111 cv,Gasolina
