"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-172","PROTON","fa-1849","400 Series","mo-3529","400 hatchback (11/1993 - 01/2006)","11/1993","01/2006","28150","PROTON 400 Series","PROTON 400 Series 400 hatchback 418 1.8 i 130 cv Boîte auto","Essence"
"ma-172","PROTON","fa-1849","400 Series","mo-3529","400 hatchback (11/1993 - 01/2006)","11/1993","01/2006","28149","PROTON 400 Series","PROTON 400 Series 400 hatchback 418 1.8 i 130 cv","Essence"
"ma-172","PROTON","fa-1849","400 Series","mo-3529","400 hatchback (11/1993 - 01/2006)","11/1993","01/2006","28143","PROTON 400 Series","PROTON 400 Series 400 hatchback 416 1.6 i 113 cv","Essence"
"ma-172","PROTON","fa-1849","400 Series","mo-3529","400 hatchback (11/1993 - 01/2006)","11/1993","01/2006","28144","PROTON 400 Series","PROTON 400 Series 400 hatchback 416 1.6 i 113 cv Boîte auto","Essence"
"ma-172","PROTON","fa-1849","400 Series","mo-3529","400 hatchback (11/1993 - 01/2006)","11/1993","01/2006","28142","PROTON 400 Series","PROTON 400 Series 400 hatchback 415 1.5 i 90 cv Boîte auto","Essence"
"ma-172","PROTON","fa-1849","400 Series","mo-3529","400 hatchback (11/1993 - 01/2006)","11/1993","01/2006","28148","PROTON 400 Series","PROTON 400 Series 400 hatchback 415 1.5 i 90 cv","Essence"
"ma-172","PROTON","fa-1849","400 Series","mo-3529","400 hatchback (11/1993 - 01/2006)","11/1993","01/2006","28145","PROTON 400 Series","PROTON 400 Series 400 hatchback 413 1.3 i 75 cv","Essence"
"ma-172","PROTON","fa-1849","400 Series","mo-3529","400 hatchback (11/1993 - 01/2006)","11/1993","01/2006","28146","PROTON 400 Series","PROTON 400 Series 400 hatchback 420 2.0 D 68 cv","Diesel"
"ma-172","PROTON","fa-1849","400 Series","mo-3529","400 hatchback (11/1993 - 01/2006)","11/1993","01/2006","28147","PROTON 400 Series","PROTON 400 Series 400 hatchback 420 2.0 TD 84 cv","Diesel"
"ma-172","PROTON","fa-1849","400 Series","mo-3528","400 berline (11/1993 - 01/2006)","11/1993","01/2006","28134","PROTON 400 Series","PROTON 400 Series 400 berline 413 1.3 i 75 cv","Essence"
