brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,66988,R.V.I. Mascott,R.V.I. Mascott 130.35 3.0 DXi3 16V chasis cabina 130 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,8562,R.V.I. Mascott,R.V.I. Mascott 160.35 3.0 DXi3 Furgón 156cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59756,R.V.I. Mascott,R.V.I. Mascott 150.65 2.8 dti furgón mediano capota rigida 146 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,67926,R.V.I. Mascott,R.V.I. Mascott 150.35 3.0 DXi3 16V chasis cabina corto 150 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59759,R.V.I. Mascott,R.V.I. Mascott 160.65 3.0 DXi3 furgón 16V 156 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,17740,R.V.I. Mascott,R.V.I. Mascott 120.35 3.0 DXi3 Furgón 115cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,8558,R.V.I. Mascott,R.V.I. Mascott 130.35 2.8 dti Furgón 125cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59749,R.V.I. Mascott,R.V.I. Mascott 110.55 2.8 TD furgón/van corto capota rigida 140 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,22898,R.V.I. Mascott,R.V.I. Mascott 90.35 2.8 D Chasis Cabina corto 85cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,22897,R.V.I. Mascott,R.V.I. Mascott 110.35 2.8 TD Chasis Doble Cabina corto 106cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,22899,R.V.I. Mascott,R.V.I. Mascott 90.35 2.8 D Furgón 85cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59755,R.V.I. Mascott,R.V.I. Mascott 150.55 2.8 dti furgón mediano capota rigida 146 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59758,R.V.I. Mascott,R.V.I. Mascott 160.65 3.0 DXi3 chasis cabina mediano 156 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,8561,R.V.I. Mascott,R.V.I. Mascott 160.35 3.0 DXi3 Plató Cabina 156cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,8563,R.V.I. Mascott,R.V.I. Mascott 90.35 2.8 D Chasis Doble Cabina corto 85cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,68380,R.V.I. Mascott,R.V.I. Mascott 130.65 3.0 DXi3 16V chasis cabina largo 130 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,67925,R.V.I. Mascott,R.V.I. Mascott 120.55 3.0 DXi3 16V chasis cabina mediano 115 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59750,R.V.I. Mascott,R.V.I. Mascott 120.55 3.0 DXi 3 furgón mediano capota rigida 115 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,11843,R.V.I. Mascott,R.V.I. Mascott 120.35 3.0 DXi3 Chasis Doble Cabina corto 115cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,63901,R.V.I. Mascott,R.V.I. Mascott 130.55 2.8 dti furgón corto 125 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59747,R.V.I. Mascott,R.V.I. Mascott 110.50 2.8 TD furgón/van corto capota rigida 105 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,17739,R.V.I. Mascott,R.V.I. Mascott 120.35 3.0 DXi3 Plató Cabina 115cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59752,R.V.I. Mascott,R.V.I. Mascott 150.35 2.8 DtI chasis cabina corto 146 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,8560,R.V.I. Mascott,R.V.I. Mascott 160.35 3.0 DXi3 Plató Doble Cabina 156cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,63899,R.V.I. Mascott,R.V.I. Mascott 130.55 2.8 dti chasis cabina corto 125 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59748,R.V.I. Mascott,R.V.I. Mascott 110.55 2.8 TD furgón/van corto capota rigida 105 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59754,R.V.I. Mascott,R.V.I. Mascott 150.35 2.8 dti furgón mediano capota rigida 146 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,11842,R.V.I. Mascott,R.V.I. Mascott 120.35 3.0 DXi3 Chasis Cabina corto 115cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,17738,R.V.I. Mascott,R.V.I. Mascott 120.35 3.0 DXi3 Plató Doble Cabina 115cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59753,R.V.I. Mascott,R.V.I. Mascott 150.35 2.8 dti chasis cabina mediano 146 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,63900,R.V.I. Mascott,R.V.I. Mascott 130.65 2.8 dti chasis doble cabina corto 125 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,11844,R.V.I. Mascott,R.V.I. Mascott 130.35 2.8 dti Chasis Cabina corto 125cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,8559,R.V.I. Mascott,R.V.I. Mascott 160.35 3.0 DXi3 Chasis Cabina corto 156cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59757,R.V.I. Mascott,R.V.I. Mascott 160.55 3.0 DXi3 chasis cabina mediano 156 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,11845,R.V.I. Mascott,R.V.I. Mascott 130.35 2.8 dti Chasis Doble Cabina corto 125cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,11846,R.V.I. Mascott,R.V.I. Mascott 160.35 3.0 DXi3 Chasis Doble Cabina corto 156cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,59751,R.V.I. Mascott,R.V.I. Mascott 120.65 3.0 DXi3 chasis cabina mediano 115 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,68379,R.V.I. Mascott,R.V.I. Mascott 130.55 3.0 DXi3 16V chasis cabina mediano 130 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,63902,R.V.I. Mascott,R.V.I. Mascott 160.55 3.0 DXi3 16V furgón 156 cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,11841,R.V.I. Mascott,R.V.I. Mascott 110.35 2.8 TD Furgón 106cv,Diesel
ma-180,R.V.I.,fa-706,Mascott,mo-1323, (07/1999 - 12/2010),07/1999,12/2010,17737,R.V.I. Mascott,R.V.I. Mascott 110.35 2.8 TD Chasis Cabina corto 106cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,57239,R.V.I. Série B,R.V.I. Série B B B90 50D 2.4 TD chasis cabina mediano 96 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,57236,R.V.I. Série B,R.V.I. Série B B B110 50D 2.8 TD chasis cabina mediano 106 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,42080,R.V.I. Série B,R.V.I. Série B B B120 2.8 TD chasis cabina mediano 122 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,57238,R.V.I. Série B,R.V.I. Série B B B90 35D 2.4 TD chasis cabina mediano 96 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43662,R.V.I. Série B,R.V.I. Série B B B80 2.5 D chasis cabina mediano 75 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,42079,R.V.I. Série B,R.V.I. Série B B B120 2.5 TD chasis cabina mediano 116 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43654,R.V.I. Série B,R.V.I. Série B B B110 2.5 TD 35D chasis cabina mediano 115 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43657,R.V.I. Série B,R.V.I. Série B B B110 2.8 TD chasis cabina mediano 106 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43660,R.V.I. Série B,R.V.I. Série B B B70 2.5 D chasis cabina mediano 72 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,37302,R.V.I. Série B,R.V.I. Série B B B70 2.4 D chasis cabina mediano 72 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,57241,R.V.I. Série B,R.V.I. Série B B B90 47D 2.4 TD chasis cabina mediano 96 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,42081,R.V.I. Série B,R.V.I. Série B B B70 2.5 D chasis cabina corto 72 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43656,R.V.I. Série B,R.V.I. Série B B B110 2.8 TD chasis cabina mediano 106 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43664,R.V.I. Série B,R.V.I. Série B B B90 2.4 TD chasis cabina mediano 96 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,42084,R.V.I. Série B,R.V.I. Série B B B80 2.5 D chasis cabina mediano 75 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,42082,R.V.I. Série B,R.V.I. Série B B B70 2.5 D chasis cabina corto Tracteur 72 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43655,R.V.I. Série B,R.V.I. Série B B B110 2.5 TD chasis cabina mediano 106 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,57240,R.V.I. Série B,R.V.I. Série B B B90 47D 2.4 TD furgón mediano 96 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,57237,R.V.I. Série B,R.V.I. Série B B B70 30D 2.4 D chasis cabina mediano 72 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,42083,R.V.I. Série B,R.V.I. Série B B B80 2.5 D chasis cabina corto Tracteur 75 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43659,R.V.I. Série B,R.V.I. Série B B B70 2.5 D chasis cabina mediano 72 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43663,R.V.I. Série B,R.V.I. Série B B B90 2.4 TD chasis cabina mediano 96 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43658,R.V.I. Série B,R.V.I. Série B B B70 2.5 D chasis cabina mediano 72 cv,Diesel
ma-180,R.V.I.,fa-2103,Série B,mo-5436,B (10/1982 - 06/1999),10/1982,06/1999,43661,R.V.I. Série B,R.V.I. Série B B B80 2.5 D chasis cabina mediano 75 cv,Diesel
