"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","66988","R.V.I. Mascott","R.V.I. Mascott 130.35 3.0 DXi3 16V Châssis cabine 130 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","8562","R.V.I. Mascott","R.V.I. Mascott 160.35 3.0 DXi3 16V Fourgon 156 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","59756","R.V.I. Mascott","R.V.I. Mascott 150.65 2.8 dti Fourgon moyen 146 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","67926","R.V.I. Mascott","R.V.I. Mascott 150.35 3.0 DXi3 16V Châssis cabine court 150 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","59759","R.V.I. Mascott","R.V.I. Mascott 160.65 3.0 DXi3 16V Fourgon 156 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","17740","R.V.I. Mascott","R.V.I. Mascott 120.35 3.0 DXi3 16V Fourgon 115 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","8558","R.V.I. Mascott","R.V.I. Mascott 130.35 2.8 dti Fourgon 125 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","59749","R.V.I. Mascott","R.V.I. Mascott 110.55 2.8 TD Fourgon court 140 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","22898","R.V.I. Mascott","R.V.I. Mascott 90.35 2.8 D Châssis cabine court 85 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","22897","R.V.I. Mascott","R.V.I. Mascott 110.35 2.8 TD Châssis double cabine court 106 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","22899","R.V.I. Mascott","R.V.I. Mascott 90.35 2.8 D Fourgon court 85 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","59755","R.V.I. Mascott","R.V.I. Mascott 150.55 2.8 dti Fourgon moyen 146 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","59758","R.V.I. Mascott","R.V.I. Mascott 160.65 3.0 DXi3 16V Châssis cabine moyen 156 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","8561","R.V.I. Mascott","R.V.I. Mascott 160.35 3.0 DXi3 16V Plateau cabine 156 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","8563","R.V.I. Mascott","R.V.I. Mascott 90.35 2.8 D Châssis double cabine court 85 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","68380","R.V.I. Mascott","R.V.I. Mascott 130.65 3.0 DXi3 16V Châssis cabine long 130 cv","Diesel"
"ma-180","R.V.I.","fa-706","Mascott","mo-1323"," (07/1999 - 12/2010)","07/1999","12/2010","67925","R.V.I. Mascott","R.V.I. Mascott 120.55 3.0 DXi3 16V Châssis cabine moyen 115 cv","Diesel"
