"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","28592","RENAULT Mégane","RENAULT Mégane II Hatchback 2.0 dCi 175 cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","7770","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi 86cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","17354","RENAULT Mégane","RENAULT Mégane II Hatchback 1.9 dCi 120cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","36801","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi FAP 103 cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","22511","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi Sociedad 86cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","22515","RENAULT Mégane","RENAULT Mégane II Hatchback 2.0 i Renault Sport 225cv","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","17350","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi Sociedad 100cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","17352","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi 100cv Proactive Transmisión automática","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","29711","RENAULT Mégane","RENAULT Mégane II Hatchback 1.6 i Hatchback 111 cv Transmisión automática","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","22513","RENAULT Mégane","RENAULT Mégane II Hatchback 1.9 dCi FAP 130cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","7769","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi 80cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","34073","RENAULT Mégane","RENAULT Mégane II Hatchback 1.9 dCi FAP 130 cv Transmisión automática","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","7771","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi 106cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","17355","RENAULT Mégane","RENAULT Mégane II Hatchback 2.0 i 16V 136cv Transmisión automática","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","30525","RENAULT Mégane","RENAULT Mégane II Hatchback 1.6 i GPL 16V 105 cv","GPL"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","11208","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi Sociedad 106cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","40442","RENAULT Mégane","RENAULT Mégane II Hatchback 1.6 i 16V 105 cv","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","22514","RENAULT Mégane","RENAULT Mégane II Hatchback 2.0 dCi 150cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","31212","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi societe 106 cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","30524","RENAULT Mégane","RENAULT Mégane II Hatchback 1.6 i Ethanol 16V 105 cv","Flex Fuel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","11206","RENAULT Mégane","RENAULT Mégane II Hatchback 1.6 i 16V 115cv Transmisión automática","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","17348","RENAULT Mégane","RENAULT Mégane II Hatchback 1.4 i 16V 98cv","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","44469","RENAULT Mégane","RENAULT Mégane II Hatchback 1.9 dCi FAP 115 cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","29710","RENAULT Mégane","RENAULT Mégane II Hatchback 1.6 i Hatchback 111 cv","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","17353","RENAULT Mégane","RENAULT Mégane II Hatchback 1.9 dCi FAP 110cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","41718","RENAULT Mégane","RENAULT Mégane II Hatchback 1.9 dCi 130 cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","63323","RENAULT Mégane","RENAULT Mégane II Hatchback 1.9 dCi 115 cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","34616","RENAULT Mégane","RENAULT Mégane II Hatchback 1.9 dCi FAP 115 cv Transmisión automática","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","17347","RENAULT Mégane","RENAULT Mégane II Hatchback 1.4 i 16V 82cv","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","63322","RENAULT Mégane","RENAULT Mégane II Hatchback 1.9 dCi 110 cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","22512","RENAULT Mégane","RENAULT Mégane II Hatchback 1.9 dCi 92cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","11204","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi 100cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","11205","RENAULT Mégane","RENAULT Mégane II Hatchback 1.6 i 16V 115cv","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","7772","RENAULT Mégane","RENAULT Mégane II Hatchback 2.0 i 16V 136cv","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","17356","RENAULT Mégane","RENAULT Mégane II Hatchback 2.0 i 16V Turbo 165cv","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","17351","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi Sociedad 106cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-1366","II Hatchback (09/2002 - 10/2008)","09/2002","10/2008","17349","RENAULT Mégane","RENAULT Mégane II Hatchback 1.5 dCi Sociedad 80cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-3732","III Hatchback (10/2008 - 03/2012)","10/2008","03/2012","29732","RENAULT Mégane","RENAULT Mégane III Hatchback 2.0 TCe 16V 180 cv","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-3732","III Hatchback (10/2008 - 03/2012)","10/2008","03/2012","29725","RENAULT Mégane","RENAULT Mégane III Hatchback 1.6 i 16V Ethanol 110 cv","Flex Fuel"
"ma-178","RENAULT","fa-650","Mégane","mo-3732","III Hatchback (10/2008 - 03/2012)","10/2008","03/2012","31229","RENAULT Mégane","RENAULT Mégane III Hatchback 2.0 dCi FAP 150 cv Transmisión automática","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-3732","III Hatchback (10/2008 - 03/2012)","10/2008","03/2012","29730","RENAULT Mégane","RENAULT Mégane III Hatchback 1.9 dCi 130 Hatchback 130 cv","Diesel"
"ma-178","RENAULT","fa-650","Mégane","mo-3732","III Hatchback (10/2008 - 03/2012)","10/2008","03/2012","34364","RENAULT Mégane","RENAULT Mégane III Hatchback 2.0 i 140 16V CVT 143 cv Transmisión automática","Gasolina"
"ma-178","RENAULT","fa-650","Mégane","mo-3732","III Hatchback (10/2008 - 03/2012)","10/2008","03/2012","29733","RENAULT Mégane","RENAULT Mégane III Hatchback 1.4 TCe 131 cv","Gasolina"
