"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","8431","ROVER 75","ROVER 75 2.0 CDT Berline 116cv","Diesel"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","11716","ROVER 75","ROVER 75 1.8 i Berline 120cv","Essence"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","17688","ROVER 75","ROVER 75 2.0 CDT Berline 131cv Caixa Automática","Diesel"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","8433","ROVER 75","ROVER 75 2.5 i V6 Berline 175cv","Essence"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","11718","ROVER 75","ROVER 75 2.0 CDT Berline 116cv Caixa Automática","Diesel"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","11788","ROVER 75","ROVER 75 2.5 i V6 Berline 177cv","Essence"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","22849","ROVER 75","ROVER 75 2.0 i V6 Berline 150cv","Essence"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","8432","ROVER 75","ROVER 75 2.0 i V6 Berline 150cv Caixa Automática","Essence"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","17689","ROVER 75","ROVER 75 2.5 i V6 Berline 175cv Caixa Automática","Essence"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","11789","ROVER 75","ROVER 75 2.5 i V6 Berline 177cv Caixa Automática","Essence"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","11717","ROVER 75","ROVER 75 1.8 i Berline 120cv Caixa Automática","Essence"
"ma-179","ROVER","fa-687","75","mo-222"," (02/1999 - 06/2004)","02/1999","06/2004","22848","ROVER 75","ROVER 75 2.0 CDT Berline 131cv","Diesel"
"ma-179","ROVER","fa-687","75","mo-224","FL (03/2004 - 04/2005)","03/2004","04/2005","22857","ROVER 75","ROVER 75 FL 2.0 CDTi Berline 131cv","Diesel"
"ma-179","ROVER","fa-687","75","mo-224","FL (03/2004 - 04/2005)","03/2004","04/2005","8435","ROVER 75","ROVER 75 FL 1.8 T Berline 150cv Caixa Automática","Essence"
"ma-179","ROVER","fa-687","75","mo-224","FL (03/2004 - 04/2005)","03/2004","04/2005","17692","ROVER 75","ROVER 75 FL 1.8 i Berline 120cv","Essence"
"ma-179","ROVER","fa-687","75","mo-224","FL (03/2004 - 04/2005)","03/2004","04/2005","8438","ROVER 75","ROVER 75 FL 2.5 i V6 Berline 177cv","Essence"
"ma-179","ROVER","fa-687","75","mo-224","FL (03/2004 - 04/2005)","03/2004","04/2005","8436","ROVER 75","ROVER 75 FL 2.0 CDT Berline 116cv Caixa Automática","Diesel"
