"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","46509","SAAB 9-3","SAAB 9-3 Berline Phase 2 2.0 t Turbo BioPower XWD 163 cv","Flex Fuel"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","46512","SAAB 9-3","SAAB 9-3 Berline Phase 2 2.0 t Turbo BioPower XWD Sentronic 210 cv Boîte auto","Flex Fuel"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","22937","SAAB 9-3","SAAB 9-3 Berline Phase 2 1.9 TiD 150cv Boîte auto","Diesel"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","12049","SAAB 9-3","SAAB 9-3 Berline Phase 2 2.0 t Turbo 175cv Boîte auto","Essence"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","46490","SAAB 9-3","SAAB 9-3 Berline Phase 2 1.9 TiD 160 cv Boîte auto","Diesel"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","46503","SAAB 9-3","SAAB 9-3 Berline Phase 2 2.0 t Turbo BioPower 163 cv","Flex Fuel"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","12047","SAAB 9-3","SAAB 9-3 Berline Phase 2 1.9 TiD 120cv","Diesel"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","29755","SAAB 9-3","SAAB 9-3 Berline Phase 2 1.8 t Turbo BioPower 175 cv","Flex Fuel"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","46511","SAAB 9-3","SAAB 9-3 Berline Phase 2 2.0 t Turbo BioPower XWD 220 cv","Flex Fuel"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","12046","SAAB 9-3","SAAB 9-3 Berline Phase 2 1.8 i 122cv","Essence"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","46496","SAAB 9-3","SAAB 9-3 Berline Phase 2 2.0 t Turbo Sentronic 220 cv Boîte auto","Essence"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","22935","SAAB 9-3","SAAB 9-3 Berline Phase 2 1.8 t Turbo 150cv","Essence"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","29756","SAAB 9-3","SAAB 9-3 Berline Phase 2 2.0 t Turbo BioPower Sentronic 200 cv Boîte auto","Flex Fuel"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","12048","SAAB 9-3","SAAB 9-3 Berline Phase 2 2.0 t Turbo 175cv","Essence"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","29751","SAAB 9-3","SAAB 9-3 Berline Phase 2 2.0 t Turbo XWD Sentronic 210 cv Boîte auto","Essence"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","30951","SAAB 9-3","SAAB 9-3 Berline Phase 2 1.9 TTiD 180 cv","Diesel"
"ma-181","SAAB","fa-711","9-3","mo-277","Berline Phase 2 (09/2002 - 03/2012)","09/2002","03/2012","43989","SAAB 9-3","SAAB 9-3 Berline Phase 2 1.8 t Turbo BioPower 150 cv","Flex Fuel"
