"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","17797","SANTANA Vitara","SANTANA Vitara 1.6 Familiar entoldado 75cv","Gasolina"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","69739","SANTANA Vitara","SANTANA Vitara 2.0 Hdi familiar 87 cv","Diesel"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","69914","SANTANA Vitara","SANTANA Vitara 1.9 D familiar baché 68 cv","Diesel"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","36650","SANTANA Vitara","SANTANA Vitara 1.9 D Familiar 68 cv","Diesel"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","36651","SANTANA Vitara","SANTANA Vitara 1.9 TD Familiar 75 cv","Diesel"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","22962","SANTANA Vitara","SANTANA Vitara 1.6 Familiar 75cv","Gasolina"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","40911","SANTANA Vitara","SANTANA Vitara 1.6 i Familiar entoldado 16V 81 cv","Gasolina"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","12071","SANTANA Vitara","SANTANA Vitara 1.6 i Familiar 79cv","Gasolina"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","69738","SANTANA Vitara","SANTANA Vitara 1.9 TD familiar 90 cv","Diesel"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","40910","SANTANA Vitara","SANTANA Vitara 1.6 i Familiar 16V 81 cv","Gasolina"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","8757","SANTANA Vitara","SANTANA Vitara 1.6 i Familiar entoldado 79cv","Gasolina"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","12072","SANTANA Vitara","SANTANA Vitara 1.6 i Familiar 95cv","Gasolina"
"ma-187","SANTANA","fa-715","Vitara","mo-2173"," (09/1989 - 09/1996)","09/1989","09/1996","8758","SANTANA Vitara","SANTANA Vitara 1.6 i Familiar entoldado 95cv","Gasolina"
"ma-187","SANTANA","fa-714","Samurai","mo-1785"," (09/1986 - 01/2001)","09/1986","01/2001","22961","SANTANA Samurai","SANTANA Samurai 1.3 Familiar entoldado 64cv","Gasolina"
"ma-187","SANTANA","fa-714","Samurai","mo-1785"," (09/1986 - 01/2001)","09/1986","01/2001","58457","SANTANA Samurai","SANTANA Samurai Samuraï 1.9D familiar baché 62 cv","Diesel"
"ma-187","SANTANA","fa-714","Samurai","mo-1785"," (09/1986 - 01/2001)","09/1986","01/2001","17791","SANTANA Samurai","SANTANA Samurai 1.0 Familiar 45cv","Gasolina"
"ma-187","SANTANA","fa-714","Samurai","mo-1785"," (09/1986 - 01/2001)","09/1986","01/2001","22960","SANTANA Samurai","SANTANA Samurai 1.3 Furgón 64cv","Gasolina"
"ma-187","SANTANA","fa-714","Samurai","mo-1785"," (09/1986 - 01/2001)","09/1986","01/2001","17793","SANTANA Samurai","SANTANA Samurai 1.3 Familiar 64cv","Gasolina"
"ma-187","SANTANA","fa-714","Samurai","mo-1785"," (09/1986 - 01/2001)","09/1986","01/2001","17794","SANTANA Samurai","SANTANA Samurai 1.3 i Furgón 69cv","Gasolina"
"ma-187","SANTANA","fa-714","Samurai","mo-1785"," (09/1986 - 01/2001)","09/1986","01/2001","17792","SANTANA Samurai","SANTANA Samurai 1.3 Familiar entoldado LWB 64cv","Gasolina"
"ma-187","SANTANA","fa-714","Samurai","mo-1785"," (09/1986 - 01/2001)","09/1986","01/2001","17795","SANTANA Samurai","SANTANA Samurai 1.3 i Familiar entoldado 70cv","Gasolina"
"ma-187","SANTANA","fa-714","Samurai","mo-1785"," (09/1986 - 01/2001)","09/1986","01/2001","17796","SANTANA Samurai","SANTANA Samurai 1.3 i Familiar entoldado 69cv","Gasolina"
"ma-187","SANTANA","fa-2003","Santana 300/350","mo-4642","Santana300/350 (06/2005 - 02/2011)","06/2005","02/2011","35708","SANTANA Santana 300/350","SANTANA Santana 300/350 Santana300/350 S300 1.6 HDI DPF 4x4 Familiar 110 cv","Diesel"
"ma-187","SANTANA","fa-2003","Santana 300/350","mo-4642","Santana300/350 (06/2005 - 02/2011)","06/2005","02/2011","35710","SANTANA Santana 300/350","SANTANA Santana 300/350 Santana300/350 S350 1.6 HDI DPF 4x4 Familiar 110 cv","Diesel"
"ma-187","SANTANA","fa-2003","Santana 300/350","mo-4642","Santana300/350 (06/2005 - 02/2011)","06/2005","02/2011","35707","SANTANA Santana 300/350","SANTANA Santana 300/350 Santana300/350 S300 1.6 HDI DPF 4x4 Familiar entoldado Descapotable 110 cv","Diesel"
"ma-187","SANTANA","fa-2003","Santana 300/350","mo-4642","Santana300/350 (06/2005 - 02/2011)","06/2005","02/2011","56089","SANTANA Santana 300/350","SANTANA Santana 300/350 Santana300/350 S300 2.0 HDI 4x4 familiar 87 cv","Diesel"
"ma-187","SANTANA","fa-2003","Santana 300/350","mo-4642","Santana300/350 (06/2005 - 02/2011)","06/2005","02/2011","35709","SANTANA Santana 300/350","SANTANA Santana 300/350 Santana300/350 S300 1.6 HDI DPF 4x4 Familiar 90 cv","Diesel"
"ma-187","SANTANA","fa-2003","Santana 300/350","mo-4642","Santana300/350 (06/2005 - 02/2011)","06/2005","02/2011","35711","SANTANA Santana 300/350","SANTANA Santana 300/350 Santana300/350 S350 1.6 HDI DPF 4x4 Familiar 90 cv","Diesel"
"ma-187","SANTANA","fa-2003","Santana 300/350","mo-4642","Santana300/350 (06/2005 - 02/2011)","06/2005","02/2011","56090","SANTANA Santana 300/350","SANTANA Santana 300/350 Santana300/350 S350 2.0 HDI 4x4 familiar 87 cv","Diesel"
"ma-187","SANTANA","fa-1886","Anibal","mo-3580"," (12/2002 - 02/2011)","12/2002","02/2011","35704","SANTANA Anibal","SANTANA Anibal 2.8 TD Furgón largo capota rigida doble cabina 125 cv","Diesel"
"ma-187","SANTANA","fa-1886","Anibal","mo-3580"," (12/2002 - 02/2011)","12/2002","02/2011","31697","SANTANA Anibal","SANTANA Anibal 2.8 Familiar 125 cv","Diesel"
"ma-187","SANTANA","fa-1886","Anibal","mo-3580"," (12/2002 - 02/2011)","12/2002","02/2011","31696","SANTANA Anibal","SANTANA Anibal 2.8 Pickup 125 cv","Diesel"
