brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,17797,SANTANA Vitara,SANTANA Vitara 1.6 Break baché 75 cv,Essence
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,69739,SANTANA Vitara,SANTANA Vitara 2.0 Hdi Break 87 cv,Diesel
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,69914,SANTANA Vitara,SANTANA Vitara 1.9 D Break baché 68 cv,Diesel
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,36650,SANTANA Vitara,SANTANA Vitara 1.9 D Break 68 cv,Diesel
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,36651,SANTANA Vitara,SANTANA Vitara 1.9 TD Break Baché 75 cv,Diesel
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,22962,SANTANA Vitara,SANTANA Vitara 1.6 Break 75 cv,Essence
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,40911,SANTANA Vitara,SANTANA Vitara 1.6 i Break baché 81 cv,Essence
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,12071,SANTANA Vitara,SANTANA Vitara 1.6 i Break 79 cv,Essence
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,69738,SANTANA Vitara,SANTANA Vitara 1.9 TD Break 90 cv,Diesel
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,40910,SANTANA Vitara,SANTANA Vitara 1.6 i Break 81 cv,Essence
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,8757,SANTANA Vitara,SANTANA Vitara 1.6 i Break baché 79 cv,Essence
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,12072,SANTANA Vitara,SANTANA Vitara 1.6 i Break 95 cv,Essence
ma-187,SANTANA,fa-715,Vitara,mo-2173, (09/1989 - 09/1996),09/1989,09/1996,8758,SANTANA Vitara,SANTANA Vitara 1.6 i Break baché 95 cv,Essence
ma-187,SANTANA,fa-714,Samurai,mo-1785, (09/1986 - 01/2001),09/1986,01/2001,22961,SANTANA Samurai,SANTANA Samurai 1.3 Break baché 64cv,Essence
ma-187,SANTANA,fa-714,Samurai,mo-1785, (09/1986 - 01/2001),09/1986,01/2001,58457,SANTANA Samurai,SANTANA Samurai Samuraï 1.9D Break baché 62 cv,Diesel
ma-187,SANTANA,fa-714,Samurai,mo-1785, (09/1986 - 01/2001),09/1986,01/2001,17791,SANTANA Samurai,SANTANA Samurai 1.0 Break 45cv,Essence
ma-187,SANTANA,fa-714,Samurai,mo-1785, (09/1986 - 01/2001),09/1986,01/2001,22960,SANTANA Samurai,SANTANA Samurai 1.3 Fourgon 64cv,Essence
ma-187,SANTANA,fa-714,Samurai,mo-1785, (09/1986 - 01/2001),09/1986,01/2001,17793,SANTANA Samurai,SANTANA Samurai 1.3 Break 64cv,Essence
ma-187,SANTANA,fa-714,Samurai,mo-1785, (09/1986 - 01/2001),09/1986,01/2001,17794,SANTANA Samurai,SANTANA Samurai 1.3 i Fourgon 69cv,Essence
ma-187,SANTANA,fa-714,Samurai,mo-1785, (09/1986 - 01/2001),09/1986,01/2001,17792,SANTANA Samurai,SANTANA Samurai 1.3 Break baché LWB 64cv,Essence
ma-187,SANTANA,fa-714,Samurai,mo-1785, (09/1986 - 01/2001),09/1986,01/2001,17795,SANTANA Samurai,SANTANA Samurai 1.3 i Break baché 70cv,Essence
ma-187,SANTANA,fa-714,Samurai,mo-1785, (09/1986 - 01/2001),09/1986,01/2001,17796,SANTANA Samurai,SANTANA Samurai 1.3 i Break baché 69cv,Essence
ma-187,SANTANA,fa-2003,300/350,mo-4642,Santana 300/350 (06/2005 - 02/2011),06/2005,02/2011,35707,SANTANA 300/350,SANTANA 300/350 Santana 300/350 S300 1.6 HDI DPF 4x4 Break baché Cabriolet 110 cv,Diesel
ma-187,SANTANA,fa-2003,300/350,mo-4642,Santana 300/350 (06/2005 - 02/2011),06/2005,02/2011,35710,SANTANA 300/350,SANTANA 300/350 Santana 300/350 S350 1.6 HDI DPF 4x4 Break 110 cv,Diesel
ma-187,SANTANA,fa-2003,300/350,mo-4642,Santana 300/350 (06/2005 - 02/2011),06/2005,02/2011,35708,SANTANA 300/350,SANTANA 300/350 Santana 300/350 S300 1.6 HDI DPF 4x4 Break 110 cv,Diesel
ma-187,SANTANA,fa-2003,300/350,mo-4642,Santana 300/350 (06/2005 - 02/2011),06/2005,02/2011,56090,SANTANA 300/350,SANTANA 300/350 Santana 300/350 S350 2.0 HDI 4x4 Break 87 cv,Diesel
ma-187,SANTANA,fa-2003,300/350,mo-4642,Santana 300/350 (06/2005 - 02/2011),06/2005,02/2011,35711,SANTANA 300/350,SANTANA 300/350 Santana 300/350 S350 1.6 HDI DPF 4x4 Break 90 cv,Diesel
ma-187,SANTANA,fa-2003,300/350,mo-4642,Santana 300/350 (06/2005 - 02/2011),06/2005,02/2011,35709,SANTANA 300/350,SANTANA 300/350 Santana 300/350 S300 1.6 HDI DPF 4x4 Break 90 cv,Diesel
ma-187,SANTANA,fa-2003,300/350,mo-4642,Santana 300/350 (06/2005 - 02/2011),06/2005,02/2011,56089,SANTANA 300/350,SANTANA 300/350 Santana 300/350 S300 2.0 HDI 4x4 Break 87 cv,Diesel
ma-187,SANTANA,fa-1886,Anibal,mo-3580,PS10 (12/2002 - 02/2011),12/2002,02/2011,35705,SANTANA Anibal,SANTANA Anibal PS10 2.8 TD Fourgon/Van long tôlé 125 cv,Diesel
ma-187,SANTANA,fa-1886,Anibal,mo-3580,PS10 (12/2002 - 02/2011),12/2002,02/2011,35704,SANTANA Anibal,SANTANA Anibal PS10 2.8 TD Fourgon long tôlé double cabine 125 cv,Diesel
ma-187,SANTANA,fa-1886,Anibal,mo-3580,PS10 (12/2002 - 02/2011),12/2002,02/2011,31697,SANTANA Anibal,SANTANA Anibal PS10 2.8 Break 125 cv,Diesel
ma-187,SANTANA,fa-1886,Anibal,mo-3580,PS10 (12/2002 - 02/2011),12/2002,02/2011,35703,SANTANA Anibal,SANTANA Anibal PS10 2.8 TD Break 106 cv,Diesel
ma-187,SANTANA,fa-1886,Anibal,mo-3580,PS10 (12/2002 - 02/2011),12/2002,02/2011,35706,SANTANA Anibal,SANTANA Anibal PS10 2.8 TD Pickup 106 cv,Diesel
ma-187,SANTANA,fa-1886,Anibal,mo-3580,PS10 (12/2002 - 02/2011),12/2002,02/2011,31696,SANTANA Anibal,SANTANA Anibal PS10 2.8 Pickup 125 cv,Diesel
