brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,12195,SEAT Ibiza,SEAT Ibiza III 1.6 i 100 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,8804,SEAT Ibiza,SEAT Ibiza III 1.4 TDi 75 cv,Diesel
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,23012,SEAT Ibiza,SEAT Ibiza III 1.6 i 16V Tiptronic 105 cv Caixa Automática,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,12199,SEAT Ibiza,SEAT Ibiza III 1.9 TDi 130 cv,Diesel
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,8802,SEAT Ibiza,SEAT Ibiza III 1.4 i 16V 86 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,12194,SEAT Ibiza,SEAT Ibiza III 1.4 TDi 80 cv,Diesel
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,12197,SEAT Ibiza,SEAT Ibiza III Cupra R 1.8 i 20V Turbo 180 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,12200,SEAT Ibiza,SEAT Ibiza III 2.0 i 116 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,23013,SEAT Ibiza,SEAT Ibiza III 1.9 SDi 64 cv,Diesel
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,23010,SEAT Ibiza,SEAT Ibiza III 1.4 i 16V 100 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,12198,SEAT Ibiza,SEAT Ibiza III 1.9 TDi 101 cv,Diesel
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,12196,SEAT Ibiza,SEAT Ibiza III FR 1.8 i 20V Turbo 150 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,17846,SEAT Ibiza,SEAT Ibiza III 2.0 i 115 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,23014,SEAT Ibiza,SEAT Ibiza III Cupra R 1.9 TDi 160 cv,Diesel
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,23011,SEAT Ibiza,SEAT Ibiza III 1.6 i 16V 105 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,17842,SEAT Ibiza,SEAT Ibiza III 1.2 i 12V 64 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,23009,SEAT Ibiza,SEAT Ibiza III 1.2 i 60 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,17844,SEAT Ibiza,SEAT Ibiza III 1.4 TDi 70 cv,Diesel
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,17843,SEAT Ibiza,SEAT Ibiza III 1.4 i 16V 75 cv,Essence
ma-192,SEAT,fa-721,Ibiza,mo-1101,III (09/2001 - 11/2009),09/2001,11/2009,8803,SEAT Ibiza,SEAT Ibiza III 1.4 i 16V 75 cv Caixa Automática,Essence
