"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","23085","SKODA Octavia","SKODA Octavia II 2.0 TDi 140cv","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","8867","SKODA Octavia","SKODA Octavia II 2.0 FSi 16V 150cv","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","8866","SKODA Octavia","SKODA Octavia II 2.0 FSi 150cv","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","12410","SKODA Octavia","SKODA Octavia II 1.6 i 102cv","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","17928","SKODA Octavia","SKODA Octavia II 1.6 FSi 115cv Transmisión automática","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","23086","SKODA Octavia","SKODA Octavia II 2.0 TDi 136cv Transmisión automática","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","8865","SKODA Octavia","SKODA Octavia II 1.4 i 75cv","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","8868","SKODA Octavia","SKODA Octavia II 2.0 TDi 136cv","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","12413","SKODA Octavia","SKODA Octavia II 2.0 FSi 16V 150cv Transmisión automática","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","12411","SKODA Octavia","SKODA Octavia II 1.6 i 102cv Transmisión automática","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","8869","SKODA Octavia","SKODA Octavia II 2.0 TDi 140cv Transmisión automática","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","30073","SKODA Octavia","SKODA Octavia II 2.0 TDi 16V 170 cv","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","28163","SKODA Octavia","SKODA Octavia II 1.4 i Hatchback 80 cv","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","28165","SKODA Octavia","SKODA Octavia II 2.0 TDi Hatchback 140 cv","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","17930","SKODA Octavia","SKODA Octavia II 2.0 FSi 150cv Transmisión automática","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","28164","SKODA Octavia","SKODA Octavia II 2.0 TDi Hatchback 140 cv Transmisión automática","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","12414","SKODA Octavia","SKODA Octavia II 2.0 TFSi RS 16V 200cv","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","12412","SKODA Octavia","SKODA Octavia II 1.9 TDi 105cv Transmisión automática","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","30072","SKODA Octavia","SKODA Octavia II 1.8 TFSi 16V 160 cv","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","17929","SKODA Octavia","SKODA Octavia II 1.9 TDi 105cv","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1500","II (05/2004 - 10/2008)","05/2004","10/2008","12409","SKODA Octavia","SKODA Octavia II 1.6 FSi 115cv","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1497","III Berlina (08/2000 - 12/2010)","08/2000","12/2010","23103","SKODA Octavia","SKODA Octavia III Berlina 1.9 TDi 110cv","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1497","III Berlina (08/2000 - 12/2010)","08/2000","12/2010","28171","SKODA Octavia","SKODA Octavia III Berlina 1.9 TDi Berlina 101 cv","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1497","III Berlina (08/2000 - 12/2010)","08/2000","12/2010","23099","SKODA Octavia","SKODA Octavia III Berlina 1.6 i 100cv Transmisión automática","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1497","III Berlina (08/2000 - 12/2010)","08/2000","12/2010","23104","SKODA Octavia","SKODA Octavia III Berlina 1.9 TDi 130cv","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1497","III Berlina (08/2000 - 12/2010)","08/2000","12/2010","17940","SKODA Octavia","SKODA Octavia III Berlina 1.6 i 75cv","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1497","III Berlina (08/2000 - 12/2010)","08/2000","12/2010","23102","SKODA Octavia","SKODA Octavia III Berlina 1.9 D 68cv","Diesel"
"ma-200","SKODA","fa-734","Octavia","mo-1497","III Berlina (08/2000 - 12/2010)","08/2000","12/2010","17941","SKODA Octavia","SKODA Octavia III Berlina 1.6 i 102cv Transmisión automática","Gasolina"
"ma-200","SKODA","fa-734","Octavia","mo-1497","III Berlina (08/2000 - 12/2010)","08/2000","12/2010","8953","SKODA Octavia","SKODA Octavia III Berlina 2.0 i 115cv","Gasolina"
