"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35010","SKODA Fabia","SKODA Fabia II Phase 2 1.2 TDi FAP 12V 75 cv","Diesel"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35012","SKODA Fabia","SKODA Fabia II Phase 2 1.2 TSi DSG7 105 cv Boîte auto","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35009","SKODA Fabia","SKODA Fabia II Phase 2 1.2 HTP 12V 69 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35011","SKODA Fabia","SKODA Fabia II Phase 2 1.2 TDi 12V 75 cv","Diesel"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35026","SKODA Fabia","SKODA Fabia II Phase 2 Scout 1.4 i 16V 86 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35014","SKODA Fabia","SKODA Fabia II Phase 2 1.2 TSi 85 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35018","SKODA Fabia","SKODA Fabia II Phase 2 1.6 i 16V 105 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35019","SKODA Fabia","SKODA Fabia II Phase 2 1.6 TDi FAP 16V 105 cv","Diesel"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35027","SKODA Fabia","SKODA Fabia II Phase 2 Scout 1.6 i 16V DSG6 105 cv Boîte auto","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35020","SKODA Fabia","SKODA Fabia II Phase 2 1.6 TDi FAP 16V 75 cv","Diesel"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35031","SKODA Fabia","SKODA Fabia II Phase 2 Scout 1.6 TDi FAP 16V 90 cv","Diesel"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35029","SKODA Fabia","SKODA Fabia II Phase 2 Scout 1.6 TDi FAP 16V 105 cv","Diesel"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35030","SKODA Fabia","SKODA Fabia II Phase 2 Scout 1.6 TDi FAP 16V 75 cv","Diesel"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35028","SKODA Fabia","SKODA Fabia II Phase 2 Scout 1.6 i 16V 105 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35024","SKODA Fabia","SKODA Fabia II Phase 2 Scout 1.2 TSi 105 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35008","SKODA Fabia","SKODA Fabia II Phase 2 1.2 HTP 60 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35025","SKODA Fabia","SKODA Fabia II Phase 2 Scout 1.2 TSi 85 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35023","SKODA Fabia","SKODA Fabia II Phase 2 Scout 1.2 TSi DSG7 105 cv Boîte auto","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35016","SKODA Fabia","SKODA Fabia II Phase 2 1.4 TFSi 16V DSG7 180 cv Boîte auto","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35015","SKODA Fabia","SKODA Fabia II Phase 2 1.4 i 16V 86 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35021","SKODA Fabia","SKODA Fabia II Phase 2 1.6 TDi FAP 16V 90 cv","Diesel"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35017","SKODA Fabia","SKODA Fabia II Phase 2 1.6 i 16V DSG6 105 cv Boîte auto","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35022","SKODA Fabia","SKODA Fabia II Phase 2 Scout 1.2 TDi FAP 12V 75 cv","Diesel"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","35013","SKODA Fabia","SKODA Fabia II Phase 2 1.2 TSi 105 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-4606","II Phase 2 (03/2010 - 12/2014)","03/2010","12/2014","67144","SKODA Fabia","SKODA Fabia II Phase 2 1.2 HTP 12V 60 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-5889","III (08/2014 - 07/2018)","08/2014","07/2018","44654","SKODA Fabia","SKODA Fabia III 1.0 MPI 12V 60 cv","Essence"
"ma-200","SKODA","fa-730","Fabia","mo-5889","III (08/2014 - 07/2018)","08/2014","07/2018","47378","SKODA Fabia","SKODA Fabia III 1.6 i 16V 110 cv","Essence"
