"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupe (451) (01/2007 - 11/2014)","01/2007","11/2014","35292","SMART Fortwo","SMART Fortwo Coupe (451) ED 41 cv Transmisión automática","Electrico"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupe (451) (01/2007 - 11/2014)","01/2007","11/2014","31663","SMART Fortwo","SMART Fortwo Coupe (451) 1.0 Turbo Brabus BR 98 cv Transmisión automática","Gasolina"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupe (451) (01/2007 - 11/2014)","01/2007","11/2014","56653","SMART Fortwo","SMART Fortwo Coupe (451) ED 82 cv Transmisión automática","Electrico"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupe (451) (01/2007 - 11/2014)","01/2007","11/2014","28241","SMART Fortwo","SMART Fortwo Coupe (451) 1.0 i BR 61 cv Transmisión automática","Gasolina"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupe (451) (01/2007 - 11/2014)","01/2007","11/2014","28243","SMART Fortwo","SMART Fortwo Coupe (451) 1.0 Turbo BR 84 cv Transmisión automática","Gasolina"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupe (451) (01/2007 - 11/2014)","01/2007","11/2014","35291","SMART Fortwo","SMART Fortwo Coupe (451) 1.0 Turbo Brabus 12V 102 cv","Gasolina"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupe (451) (01/2007 - 11/2014)","01/2007","11/2014","35289","SMART Fortwo","SMART Fortwo Coupe (451) 1.0 i 12V MHD 61 cv","Gasolina"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupe (451) (01/2007 - 11/2014)","01/2007","11/2014","38865","SMART Fortwo","SMART Fortwo Coupe (451) ED 48 cv Transmisión automática","Electrico"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupe (451) (01/2007 - 11/2014)","01/2007","11/2014","35288","SMART Fortwo","SMART Fortwo Coupe (451) 0.8 cdi BR 54 cv Transmisión automática","Diesel"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupe (451) (01/2007 - 11/2014)","01/2007","11/2014","28240","SMART Fortwo","SMART Fortwo Coupe (451) 0.8 cdi BR 45 cv Transmisión automática","Diesel"
