"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","35292","SMART Fortwo","SMART Fortwo Coupé (451) ED 41 cv Boîte auto","Electrique"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","31663","SMART Fortwo","SMART Fortwo Coupé (451) Brabus 1.0 Turbo BR 98 cv Boîte auto","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","56653","SMART Fortwo","SMART Fortwo Coupé (451) Brabus ED 82 cv Boîte auto","Electrique"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","28241","SMART Fortwo","SMART Fortwo Coupé (451) 1.0 i BR 61 cv Boîte auto","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","28243","SMART Fortwo","SMART Fortwo Coupé (451) 1.0 Turbo BR 84 cv Boîte auto","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","35291","SMART Fortwo","SMART Fortwo Coupé (451) Brabus 1.0 12V Turbo 102 cv","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","35289","SMART Fortwo","SMART Fortwo Coupé (451) 1.0 i 12V MHD 61 cv","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","38865","SMART Fortwo","SMART Fortwo Coupé (451) ED 48 cv Boîte auto","Electrique"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","35288","SMART Fortwo","SMART Fortwo Coupé (451) 0.8 cdi BR 54 cv Boîte auto","Diesel"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","28240","SMART Fortwo","SMART Fortwo Coupé (451) 0.8 cdi BR 45 cv Boîte auto","Diesel"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","35290","SMART Fortwo","SMART Fortwo Coupé (451) 1.0 i 12V MHD 71 cv","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-3463","Coupé (451) (01/2007 - 11/2014)","01/2007","11/2014","28242","SMART Fortwo","SMART Fortwo Coupé (451) 1.0 i 12V 71 cv","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-5861","(453) (07/2014 - 09/2019)","07/2014","09/2019","49068","SMART Fortwo","SMART Fortwo (453) 1.0 i 12V Cabriolet S&S 71 cv","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-5861","(453) (07/2014 - 09/2019)","07/2014","09/2019","49066","SMART Fortwo","SMART Fortwo (453) 0.9 TI 12V Cabriolet twinamic S&S 90 cv Boîte auto","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-5861","(453) (07/2014 - 09/2019)","07/2014","09/2019","50520","SMART Fortwo","SMART Fortwo (453) Brabus 0.9 TI 12V Coupé twinamic S&S 109 cv Boîte auto","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-5861","(453) (07/2014 - 09/2019)","07/2014","09/2019","50521","SMART Fortwo","SMART Fortwo (453) Brabus 0.9 TI 12V Cabriolet twinamic S&S 109 cv Boîte auto","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-5861","(453) (07/2014 - 09/2019)","07/2014","09/2019","44600","SMART Fortwo","SMART Fortwo (453) 0.9 TI 12V Coupé S&S 90 cv","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-5861","(453) (07/2014 - 09/2019)","07/2014","09/2019","44602","SMART Fortwo","SMART Fortwo (453) 1.0 i 12V Coupé S&S 71 cv","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-5861","(453) (07/2014 - 09/2019)","07/2014","09/2019","46592","SMART Fortwo","SMART Fortwo (453) 1.0 i 12V Coupé S&S 61 cv","Essence"
"ma-138","SMART","fa-470","Fortwo","mo-5861","(453) (07/2014 - 09/2019)","07/2014","09/2019","49065","SMART Fortwo","SMART Fortwo (453) 0.9 TI 12V Cabriolet S&S 90 cv","Essence"
