"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1718","I Fase 2 (12/2006 - 09/2012)","12/2006","09/2012","23126","SSANGYONG Rexton","SSANGYONG Rexton I Fase 2 RJ 290 2.9 XDi Familiar 120cv","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1718","I Fase 2 (12/2006 - 09/2012)","12/2006","09/2012","8977","SSANGYONG Rexton","SSANGYONG Rexton I Fase 2 RX 270 2.7 XDi Familiar 164cv","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1718","I Fase 2 (12/2006 - 09/2012)","12/2006","09/2012","56123","SSANGYONG Rexton","SSANGYONG Rexton I Fase 2 RX 270 2.7 XDi familiar 20V 160 cv Transmisión automática","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1718","I Fase 2 (12/2006 - 09/2012)","12/2006","09/2012","56124","SSANGYONG Rexton","SSANGYONG Rexton I Fase 2 RX 270 2.7 XDi familiar 20V 160 cv","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1718","I Fase 2 (12/2006 - 09/2012)","12/2006","09/2012","23127","SSANGYONG Rexton","SSANGYONG Rexton I Fase 2 RJ 290 2.9 XDi Familiar 120cv Transmisión automática","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1718","I Fase 2 (12/2006 - 09/2012)","12/2006","09/2012","23128","SSANGYONG Rexton","SSANGYONG Rexton I Fase 2 RX 270 2.7 XVT Familiar 186cv Transmisión automática","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1718","I Fase 2 (12/2006 - 09/2012)","12/2006","09/2012","59170","SSANGYONG Rexton","SSANGYONG Rexton I Fase 2 RX 270 2.7 XDi familiar 20V Automatic 180 cv Transmisión automática","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1718","I Fase 2 (12/2006 - 09/2012)","12/2006","09/2012","17971","SSANGYONG Rexton","SSANGYONG Rexton I Fase 2 RX 320 3.2 i Familiar 220cv Transmisión automática","Gasolina"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1718","I Fase 2 (12/2006 - 09/2012)","12/2006","09/2012","17970","SSANGYONG Rexton","SSANGYONG Rexton I Fase 2 RX 270 2.7 XDi Familiar 164cv Transmisión automática","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1717","I (04/2002 - 12/2006)","04/2002","12/2006","36660","SSANGYONG Rexton","SSANGYONG Rexton I 3.2 i Familiar 24V 220 cv Transmisión automática","Gasolina"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1717","I (04/2002 - 12/2006)","04/2002","12/2006","17969","SSANGYONG Rexton","SSANGYONG Rexton I 2.9 TDi Familiar 120cv","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1717","I (04/2002 - 12/2006)","04/2002","12/2006","67003","SSANGYONG Rexton","SSANGYONG Rexton I RX 270 2.7 Xdi 20V 163 cv","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1717","I (04/2002 - 12/2006)","04/2002","12/2006","23125","SSANGYONG Rexton","SSANGYONG Rexton I 3.2 i Familiar 220cv","Gasolina"
"ma-204","SSANGYONG","fa-743","Rexton","mo-1717","I (04/2002 - 12/2006)","04/2002","12/2006","67004","SSANGYONG Rexton","SSANGYONG Rexton I RX 270 2.7 Xdi 20V 163 cv Transmisión automática","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-5612","I Fase 3 (06/2012 - 09/2017)","06/2012","09/2017","56129","SSANGYONG Rexton","SSANGYONG Rexton I Fase 3 RX200 2.2 e-XDi 2WD 16V T-Tronic 178 cv Transmisión automática","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-5612","I Fase 3 (06/2012 - 09/2017)","06/2012","09/2017","56126","SSANGYONG Rexton","SSANGYONG Rexton I Fase 3 RX200 2.0 e-XDi 2WD 16V 155 cv","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-5612","I Fase 3 (06/2012 - 09/2017)","06/2012","09/2017","56131","SSANGYONG Rexton","SSANGYONG Rexton I Fase 3 RX200 2.2 e-XDi 4WD 16V T-Tronic 178 cv Transmisión automática","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-5612","I Fase 3 (06/2012 - 09/2017)","06/2012","09/2017","56130","SSANGYONG Rexton","SSANGYONG Rexton I Fase 3 RX200 2.2 e-XDi 4WD 16V 178 cv","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-5612","I Fase 3 (06/2012 - 09/2017)","06/2012","09/2017","56128","SSANGYONG Rexton","SSANGYONG Rexton I Fase 3 RX200 2.2 e-XDi 2WD 16V 178 cv","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-5612","I Fase 3 (06/2012 - 09/2017)","06/2012","09/2017","43805","SSANGYONG Rexton","SSANGYONG Rexton I Fase 3 RX200 2.0 e-XDi 4WD 16V 155 cv","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-5612","I Fase 3 (06/2012 - 09/2017)","06/2012","09/2017","56127","SSANGYONG Rexton","SSANGYONG Rexton I Fase 3 RX200 2.0 e-XDi 2WD 16V T-Tronic 155 cv Transmisión automática","Diesel"
"ma-204","SSANGYONG","fa-743","Rexton","mo-5612","I Fase 3 (06/2012 - 09/2017)","06/2012","09/2017","43806","SSANGYONG Rexton","SSANGYONG Rexton I Fase 3 RX200 2.0 e-XDi 4WD 16V T-Tronic 155 cv Transmisión automática","Diesel"
