brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,17968,SSANGYONG Musso,SSANGYONG Musso 3.2 i Break 220cv Caixa Automática,Essence
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,44006,SSANGYONG Musso,SSANGYONG Musso 2.3 i AWD Break 16V 140 cv Caixa Automática,Essence
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,17965,SSANGYONG Musso,SSANGYONG Musso 2.3 D 4x4 Break 79cv,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,12709,SSANGYONG Musso,SSANGYONG Musso 3.2 i Break 220cv,Essence
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,31660,SSANGYONG Musso,SSANGYONG Musso 2.9 TD 4x4 Break 120 cv,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,56886,SSANGYONG Musso,SSANGYONG Musso 2.9 D 4x4 Break 100 cv Caixa Automática,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,23124,SSANGYONG Musso,SSANGYONG Musso 2.3 i Break 150cv,Essence
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,36658,SSANGYONG Musso,SSANGYONG Musso 2.0 i AWD Break 16V 128 cv,Essence
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,36659,SSANGYONG Musso,SSANGYONG Musso 2.3 TDiC 4x4 Break 100 cv,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,36657,SSANGYONG Musso,SSANGYONG Musso 2.0 i AWD Break 16V 128 cv Caixa Automática,Essence
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,8976,SSANGYONG Musso,SSANGYONG Musso 2.9 D 4x4 Break 95cv,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,17967,SSANGYONG Musso,SSANGYONG Musso 2.9 D 4x4 Break 120cv Caixa Automática,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,12708,SSANGYONG Musso,SSANGYONG Musso 2.9 D 4x4 Break 95cv Caixa Automática,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,31661,SSANGYONG Musso,SSANGYONG Musso 2.9 TD Break 2WD 120 cv,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-1453, (08/1993 - 12/2007),08/1993,12/2007,17966,SSANGYONG Musso,SSANGYONG Musso 2.3 i Break 150cv Caixa Automática,Essence
ma-204,SSANGYONG,fa-742,Musso,mo-2525,SPORTS (08/2004 - Hoje),08/2004,,26648,SSANGYONG Musso,SSANGYONG Musso SPORTS 2.9 D 120 cv,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-6782,Pick Up (06/2018 - 04/2022),06/2018,04/2022,58905,SSANGYONG Musso,SSANGYONG Musso Pick Up 2.2 e-XDi 16V Pickup double cabine 2WD 181 cv Caixa Automática,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-6782,Pick Up (06/2018 - 04/2022),06/2018,04/2022,67908,SSANGYONG Musso,SSANGYONG Musso Pick Up Grand 2.2 e-XDi 16V Pickup double cabine 4WD 181 cv,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-6782,Pick Up (06/2018 - 04/2022),06/2018,04/2022,67910,SSANGYONG Musso,SSANGYONG Musso Pick Up Grand 2.2 e-XDi 16V Pickup double cabine 2WD 181 cv Caixa Automática,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-6782,Pick Up (06/2018 - 04/2022),06/2018,04/2022,58906,SSANGYONG Musso,SSANGYONG Musso Pick Up 2.2 e-XDi 16V Pickup double cabine 2WD 181 cv,Diesel
ma-204,SSANGYONG,fa-742,Musso,mo-6782,Pick Up (06/2018 - 04/2022),06/2018,04/2022,58907,SSANGYONG Musso,SSANGYONG Musso Pick Up 2.2 e-XDi 16V Pickup double cabine 4WD 181 cv Caixa Automática,Diesel
