brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-206,SUBARU,fa-750,Forester,mo-3601,3 (SH) (12/2007 - 12/2013),12/2007,12/2013,30449,SUBARU Forester,SUBARU Forester 3 (SH) 2.5 XT 4WD 16V 230 cv,Gasolina
ma-206,SUBARU,fa-750,Forester,mo-3601,3 (SH) (12/2007 - 12/2013),12/2007,12/2013,50359,SUBARU Forester,SUBARU Forester 3 (SH) 2.0 4WD familiar 16V 150 cv,Gasolina
ma-206,SUBARU,fa-750,Forester,mo-3601,3 (SH) (12/2007 - 12/2013),12/2007,12/2013,31652,SUBARU Forester,SUBARU Forester 3 (SH) 2.0 XS 4WD Familiar 16V Sportshift 150 cv Transmisión automática,Gasolina
ma-206,SUBARU,fa-750,Forester,mo-3601,3 (SH) (12/2007 - 12/2013),12/2007,12/2013,30450,SUBARU Forester,SUBARU Forester 3 (SH) 2.5 XT 4WD 16V Sportshift 230 cv Transmisión automática,Gasolina
ma-206,SUBARU,fa-750,Forester,mo-3601,3 (SH) (12/2007 - 12/2013),12/2007,12/2013,31651,SUBARU Forester,SUBARU Forester 3 (SH) 2.0 X 4WD Familiar 16V 150 cv,Gasolina
ma-206,SUBARU,fa-750,Forester,mo-3601,3 (SH) (12/2007 - 12/2013),12/2007,12/2013,30447,SUBARU Forester,SUBARU Forester 3 (SH) 2.5 X 4WD 16V 172 cv,Gasolina
ma-206,SUBARU,fa-750,Forester,mo-3601,3 (SH) (12/2007 - 12/2013),12/2007,12/2013,50360,SUBARU Forester,SUBARU Forester 3 (SH) 2.0 4WD familiar 16V Sportshift 150 cv Transmisión automática,Gasolina
ma-206,SUBARU,fa-750,Forester,mo-3601,3 (SH) (12/2007 - 12/2013),12/2007,12/2013,30446,SUBARU Forester,SUBARU Forester 3 (SH) 2.0 D 4WD 16V 147 cv,Diesel
ma-206,SUBARU,fa-750,Forester,mo-3601,3 (SH) (12/2007 - 12/2013),12/2007,12/2013,30448,SUBARU Forester,SUBARU Forester 3 (SH) 2.5 XS 4WD 16V Sportshift 172 cv Transmisión automática,Gasolina
ma-206,SUBARU,fa-750,Forester,mo-5635,4 (SJ) (02/2013 - 03/2016),02/2013,03/2016,41654,SUBARU Forester,SUBARU Forester 4 (SJ) 2.0 XT 4WD Familiar 16V CVT 150 cv Transmisión automática,Gasolina
