"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-206","SUBARU","fa-751","Impreza","mo-1108","(G11) Berline (09/2000 - 08/2005)","09/2000","08/2005","17982","SUBARU Impreza","SUBARU Impreza (G11) Berline 2.0 i Turbo 225cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1108","(G11) Berline (09/2000 - 08/2005)","09/2000","08/2005","8989","SUBARU Impreza","SUBARU Impreza (G11) Berline 2.0 i 125cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1108","(G11) Berline (09/2000 - 08/2005)","09/2000","08/2005","40756","SUBARU Impreza","SUBARU Impreza (G11) Berline 2.0 Turbo 218 cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1108","(G11) Berline (09/2000 - 08/2005)","09/2000","08/2005","12723","SUBARU Impreza","SUBARU Impreza (G11) Berline 2.0 STi Turbo 265cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1108","(G11) Berline (09/2000 - 08/2005)","09/2000","08/2005","8990","SUBARU Impreza","SUBARU Impreza (G11) Berline 2.0 i Turbo 218cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1108","(G11) Berline (09/2000 - 08/2005)","09/2000","08/2005","12722","SUBARU Impreza","SUBARU Impreza (G11) Berline 1.6 i 95cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1108","(G11) Berline (09/2000 - 08/2005)","09/2000","08/2005","17981","SUBARU Impreza","SUBARU Impreza (G11) Berline 2.0 i 125cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-6635","(GE/GH) Hatchback (06/2007 - 09/2011)","06/2007","09/2011","29768","SUBARU Impreza","SUBARU Impreza (GE/GH) Hatchback 1.5 i 16V AWD 107 cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-6635","(GE/GH) Hatchback (06/2007 - 09/2011)","06/2007","09/2011","29769","SUBARU Impreza","SUBARU Impreza (GE/GH) Hatchback R 2.0 i 16V AWD 150 cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-6635","(GE/GH) Hatchback (06/2007 - 09/2011)","06/2007","09/2011","66743","SUBARU Impreza","SUBARU Impreza (GE/GH) Hatchback 2.0 D 16V AWD 150 cv","Diesel"
"ma-206","SUBARU","fa-751","Impreza","mo-6635","(GE/GH) Hatchback (06/2007 - 09/2011)","06/2007","09/2011","29770","SUBARU Impreza","SUBARU Impreza (GE/GH) Hatchback R 2.0 i 16V AWD SportShift 150 cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-6635","(GE/GH) Hatchback (06/2007 - 09/2011)","06/2007","09/2011","29773","SUBARU Impreza","SUBARU Impreza (GE/GH) Hatchback 2.0 D 16V DPF AWD 150 cv","Diesel"
"ma-206","SUBARU","fa-751","Impreza","mo-6635","(GE/GH) Hatchback (06/2007 - 09/2011)","06/2007","09/2011","50018","SUBARU Impreza","SUBARU Impreza (GE/GH) Hatchback 2.0 D 16V AWD 109 cv","Diesel"
"ma-206","SUBARU","fa-751","Impreza","mo-6635","(GE/GH) Hatchback (06/2007 - 09/2011)","06/2007","09/2011","29765","SUBARU Impreza","SUBARU Impreza (GE/GH) Hatchback 1.5 i 16V 2WD 107 cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-6635","(GE/GH) Hatchback (06/2007 - 09/2011)","06/2007","09/2011","29767","SUBARU Impreza","SUBARU Impreza (GE/GH) Hatchback 1.5 i 16V AWD SportShift 107 cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-6635","(GE/GH) Hatchback (06/2007 - 09/2011)","06/2007","09/2011","29766","SUBARU Impreza","SUBARU Impreza (GE/GH) Hatchback 1.5 i 16V 2WD SportShift 107 cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","12730","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.6 i 95cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","12732","SUBARU Impreza","SUBARU Impreza (G10) Berline 2.0 i 115cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","12731","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.8 i 110cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","8998","SUBARU Impreza","SUBARU Impreza (G10) Berline 2.0 i 115cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","8995","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.6 i 90cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","25123","SUBARU Impreza","SUBARU Impreza (G10) Berline 2.0 i 4x4 125cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","12733","SUBARU Impreza","SUBARU Impreza (G10) Berline 2.0 i 16V Turbo 4WD 211cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","24756","SUBARU Impreza","SUBARU Impreza (G10) Berline 2.0 i 4x4 115cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","24754","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.6 i 4x4 95cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","24755","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.8 i 4x4 110cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","24987","SUBARU Impreza","SUBARU Impreza (G10) Berline 2.0 i 4x4 125cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","17989","SUBARU Impreza","SUBARU Impreza (G10) Berline 2.0 i 125cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","12729","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.6 i 90cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","23140","SUBARU Impreza","SUBARU Impreza (G10) Berline 2.0 i 125cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","48609","SUBARU Impreza","SUBARU Impreza (G10) Berline 2.0 i Turbo 4WD 16V 218 cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","8996","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.8 i 103cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","24833","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.6 i 4x4 90cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","8994","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.6 i 95cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","24835","SUBARU Impreza","SUBARU Impreza (G10) Berline 2.0 i 4x4 115cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","8997","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.8 i 110cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1106","(G10) Berline (01/1993 - 08/2000)","01/1993","08/2000","24834","SUBARU Impreza","SUBARU Impreza (G10) Berline 1.8 i 4x4 110cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1110","(G11) Phase 2 Berline (09/2005 - 06/2007)","09/2005","06/2007","29761","SUBARU Impreza","SUBARU Impreza (G11) Phase 2 Berline 1.5 i AWD Berline 105 cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1110","(G11) Phase 2 Berline (09/2005 - 06/2007)","09/2005","06/2007","8991","SUBARU Impreza","SUBARU Impreza (G11) Phase 2 Berline 2.0 R 160cv Boîte auto","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1110","(G11) Phase 2 Berline (09/2005 - 06/2007)","09/2005","06/2007","8992","SUBARU Impreza","SUBARU Impreza (G11) Phase 2 Berline 2.5 WRX Turbo 230cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1110","(G11) Phase 2 Berline (09/2005 - 06/2007)","09/2005","06/2007","29763","SUBARU Impreza","SUBARU Impreza (G11) Phase 2 Berline 1.5 i 2WD Berline 105 cv","Essence"
"ma-206","SUBARU","fa-751","Impreza","mo-1110","(G11) Phase 2 Berline (09/2005 - 06/2007)","09/2005","06/2007","17984","SUBARU Impreza","SUBARU Impreza (G11) Phase 2 Berline 2.0 R 160cv","Essence"
