brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,41586,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 2.0 16V Cabriolet 132 cv Caixa Automática,Essence
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,49154,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 2.0 Hdi Break 87 cv,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,18127,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.6 Cabriolet 74 cv,Essence
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,18131,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.9 TD Cabriolet 75 cv,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,12872,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.9 D Break 68 cv,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,18128,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.6 i Cabriolet 80 cv,Essence
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,18129,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.6 i Break 80 cv,Essence
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,50420,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.6 Cabriolet 82 cv,Essence
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,35584,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 2.0 TD Break 87 cv Caixa Automática,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,56884,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 2.0 Hdi Break 90 cv,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,9209,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.9 TD Cabriolet 75 cv Caixa Automática,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,41585,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 2.0 16V Break 132 cv,Essence
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,18132,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 2.0 V6 24V Break 136 cv Caixa Automática,Essence
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,9207,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.6 i 16V Cabriolet 95 cv,Essence
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,35585,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 2.0 TD Break 87 cv,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,9211,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 2.0 TD Break 71 cv,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,12874,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.9 TD Break 75 cv Caixa Automática,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,56885,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 2.0 Hdi Cabriolet 90 cv,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,9210,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 2.0 HDI Break 109 cv,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,12871,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.9 D Cabriolet 68 cv,Diesel
ma-208,SUZUKI,fa-778,Vitara,mo-2174,(ET/TA) (10/1988 - 12/2005),10/1988,12/2005,23210,SUZUKI Vitara,SUZUKI Vitara (ET/TA) 1.6 Break 74 cv,Essence
