"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-210","TALBOT","fa-792","Samba","mo-1784"," (01/1981 - 12/1985)","01/1981","12/1985","12963","TALBOT Samba","TALBOT Samba 1.1 50cv","Essence"
"ma-210","TALBOT","fa-792","Samba","mo-1784"," (01/1981 - 12/1985)","01/1981","12/1985","12962","TALBOT Samba","TALBOT Samba 1.0 35cv","Essence"
"ma-210","TALBOT","fa-792","Samba","mo-1784"," (01/1981 - 12/1985)","01/1981","12/1985","18154","TALBOT Samba","TALBOT Samba 1.2 90cv","Essence"
"ma-210","TALBOT","fa-792","Samba","mo-1784"," (01/1981 - 12/1985)","01/1981","12/1985","9230","TALBOT Samba","TALBOT Samba 1.4 Cabriolet 80cv","Essence"
"ma-210","TALBOT","fa-792","Samba","mo-1784"," (01/1981 - 12/1985)","01/1981","12/1985","9232","TALBOT Samba","TALBOT Samba 1.4 80cv","Essence"
"ma-210","TALBOT","fa-792","Samba","mo-1784"," (01/1981 - 12/1985)","01/1981","12/1985","12964","TALBOT Samba","TALBOT Samba 1.4 72cv","Essence"
"ma-210","TALBOT","fa-792","Samba","mo-1784"," (01/1981 - 12/1985)","01/1981","12/1985","23225","TALBOT Samba","TALBOT Samba 1.4 80cv","Essence"
"ma-210","TALBOT","fa-792","Samba","mo-1784"," (01/1981 - 12/1985)","01/1981","12/1985","18153","TALBOT Samba","TALBOT Samba 1.1 Cabriolet 50cv","Essence"
"ma-210","TALBOT","fa-792","Samba","mo-1784"," (01/1981 - 12/1985)","01/1981","12/1985","18155","TALBOT Samba","TALBOT Samba 1.4 Cabriolet 72cv","Essence"
"ma-210","TALBOT","fa-792","Samba","mo-1784"," (01/1981 - 12/1985)","01/1981","12/1985","9231","TALBOT Samba","TALBOT Samba 1.4 59 cv","Essence"
"ma-210","TALBOT","fa-790","Murena","mo-1450"," (01/1981 - 12/1983)","01/1981","12/1983","69127","TALBOT Murena","TALBOT Murena S 2.2 Coupé 140cv","Essence"
"ma-210","TALBOT","fa-790","Murena","mo-1450"," (01/1981 - 12/1983)","01/1981","12/1983","23224","TALBOT Murena","TALBOT Murena 2.2 Coupé 115cv","Essence"
"ma-210","TALBOT","fa-790","Murena","mo-1450"," (01/1981 - 12/1983)","01/1981","12/1983","18152","TALBOT Murena","TALBOT Murena 1.6 Coupé 88cv","Essence"
"ma-210","TALBOT","fa-789","Horizon","mo-1093"," (01/1978 - 12/1986)","01/1978","12/1986","9229","TALBOT Horizon","TALBOT Horizon 1.6 70cv","Essence"
"ma-210","TALBOT","fa-789","Horizon","mo-1093"," (01/1978 - 12/1986)","01/1978","12/1986","12959","TALBOT Horizon","TALBOT Horizon 1.3 68cv","Essence"
"ma-210","TALBOT","fa-789","Horizon","mo-1093"," (01/1978 - 12/1986)","01/1978","12/1986","12960","TALBOT Horizon","TALBOT Horizon 1.9 D 65cv","Diesel"
