brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-220,TOYOTA,fa-799,Avensis,mo-455,(T25) (01/2003 - 11/2008),01/2003,11/2008,23246,TOYOTA Avensis,TOYOTA Avensis (T25) 2.0 D-4 150cv Transmisión automática,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-455,(T25) (01/2003 - 11/2008),01/2003,11/2008,9243,TOYOTA Avensis,TOYOTA Avensis (T25) 1.8 VVTi 129cv Transmisión automática,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-455,(T25) (01/2003 - 11/2008),01/2003,11/2008,18172,TOYOTA Avensis,TOYOTA Avensis (T25) 2.0 D-4 150cv,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-455,(T25) (01/2003 - 11/2008),01/2003,11/2008,12983,TOYOTA Avensis,TOYOTA Avensis (T25) 1.8 VVTi 129cv,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-455,(T25) (01/2003 - 11/2008),01/2003,11/2008,12984,TOYOTA Avensis,TOYOTA Avensis (T25) 2.0 D-4D 116cv,Diesel
ma-220,TOYOTA,fa-799,Avensis,mo-455,(T25) (01/2003 - 11/2008),01/2003,11/2008,23247,TOYOTA Avensis,TOYOTA Avensis (T25) 2.2 D-4D 177cv,Diesel
ma-220,TOYOTA,fa-799,Avensis,mo-455,(T25) (01/2003 - 11/2008),01/2003,11/2008,23245,TOYOTA Avensis,TOYOTA Avensis (T25) 1.6 VVTi 110cv,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-455,(T25) (01/2003 - 11/2008),01/2003,11/2008,23248,TOYOTA Avensis,TOYOTA Avensis (T25) 2.4 VVTi 163cv Transmisión automática,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-455,(T25) (01/2003 - 11/2008),01/2003,11/2008,18173,TOYOTA Avensis,TOYOTA Avensis (T25) 2.2 D-4D 150cv,Diesel
ma-220,TOYOTA,fa-799,Avensis,mo-455,(T25) (01/2003 - 11/2008),01/2003,11/2008,12985,TOYOTA Avensis,TOYOTA Avensis (T25) 2.0 D-4D 126cv,Diesel
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,18170,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 2.0 D-4D 116cv,Diesel
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,12980,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 1.8 VVTi 129cv Transmisión automática,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,23243,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 2.2 D-4D 177cv,Diesel
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,23244,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 2.4 VVTi 163cv Transmisión automática,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,23242,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 2.0 D-4 150cv Transmisión automática,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,18169,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 1.6 VVTi 110cv,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,23241,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 2.0 D-4 150cv,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,12981,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 2.0 D-4D 126cv,Diesel
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,12979,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 1.8 VVTi 129cv,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,9242,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 2.0 VVTi 150cv,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,18171,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 2.0 VVTi 150cv Transmisión automática,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-453,Berlina (T25) (01/2003 - 11/2008),01/2003,11/2008,12982,TOYOTA Avensis,TOYOTA Avensis Berlina (T25) 2.2 D-4D 150cv,Diesel
ma-220,TOYOTA,fa-799,Avensis,mo-454,Familiar (T25) (01/2003 - 11/2008),01/2003,11/2008,18174,TOYOTA Avensis,TOYOTA Avensis Familiar (T25) 1.8 VVTi 129cv,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-454,Familiar (T25) (01/2003 - 11/2008),01/2003,11/2008,23251,TOYOTA Avensis,TOYOTA Avensis Familiar (T25) 2.0 VVTi 150cv Transmisión automática,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-454,Familiar (T25) (01/2003 - 11/2008),01/2003,11/2008,12986,TOYOTA Avensis,TOYOTA Avensis Familiar (T25) 2.0 D-4D 116cv,Diesel
ma-220,TOYOTA,fa-799,Avensis,mo-454,Familiar (T25) (01/2003 - 11/2008),01/2003,11/2008,9244,TOYOTA Avensis,TOYOTA Avensis Familiar (T25) 1.6 VVTi 110cv,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-454,Familiar (T25) (01/2003 - 11/2008),01/2003,11/2008,23252,TOYOTA Avensis,TOYOTA Avensis Familiar (T25) 2.2 D-4D 177cv,Diesel
ma-220,TOYOTA,fa-799,Avensis,mo-454,Familiar (T25) (01/2003 - 11/2008),01/2003,11/2008,23250,TOYOTA Avensis,TOYOTA Avensis Familiar (T25) 2.0 D-4 150cv Transmisión automática,Gasolina
ma-220,TOYOTA,fa-799,Avensis,mo-454,Familiar (T25) (01/2003 - 11/2008),01/2003,11/2008,18175,TOYOTA Avensis,TOYOTA Avensis Familiar (T25) 2.2 D-4D 150cv,Diesel
