"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-220","TOYOTA","fa-806","Corolla","mo-746","(120) Hatchback (fab. GB) (11/2001 - 02/2007)","11/2001","02/2007","9273","TOYOTA Corolla","TOYOTA Corolla (120) Hatchback (fab. GB) 2.0 D4-D 16V 90cv","Diesel"
"ma-220","TOYOTA","fa-806","Corolla","mo-746","(120) Hatchback (fab. GB) (11/2001 - 02/2007)","11/2001","02/2007","67817","TOYOTA Corolla","TOYOTA Corolla (120) Hatchback (fab. GB) 1.4 D4-D MultiMode 90cv Caixa Automática","Diesel"
"ma-220","TOYOTA","fa-806","Corolla","mo-746","(120) Hatchback (fab. GB) (11/2001 - 02/2007)","11/2001","02/2007","18203","TOYOTA Corolla","TOYOTA Corolla (120) Hatchback (fab. GB) 1.4 i 16V 97cv","Essence"
"ma-220","TOYOTA","fa-806","Corolla","mo-746","(120) Hatchback (fab. GB) (11/2001 - 02/2007)","11/2001","02/2007","13016","TOYOTA Corolla","TOYOTA Corolla (120) Hatchback (fab. GB) 2.0 D4-D 16V 110cv","Diesel"
"ma-220","TOYOTA","fa-806","Corolla","mo-746","(120) Hatchback (fab. GB) (11/2001 - 02/2007)","11/2001","02/2007","18204","TOYOTA Corolla","TOYOTA Corolla (120) Hatchback (fab. GB) 1.6 VVT-i 16V 110cv Caixa Automática","Essence"
"ma-220","TOYOTA","fa-806","Corolla","mo-746","(120) Hatchback (fab. GB) (11/2001 - 02/2007)","11/2001","02/2007","18202","TOYOTA Corolla","TOYOTA Corolla (120) Hatchback (fab. GB) 1.4 D4-D 90cv","Diesel"
"ma-220","TOYOTA","fa-806","Corolla","mo-746","(120) Hatchback (fab. GB) (11/2001 - 02/2007)","11/2001","02/2007","9271","TOYOTA Corolla","TOYOTA Corolla (120) Hatchback (fab. GB) TS 1.8 i 16V 192cv","Essence"
"ma-220","TOYOTA","fa-806","Corolla","mo-746","(120) Hatchback (fab. GB) (11/2001 - 02/2007)","11/2001","02/2007","9270","TOYOTA Corolla","TOYOTA Corolla (120) Hatchback (fab. GB) 1.6 VVT-i 16V 110cv","Essence"
"ma-220","TOYOTA","fa-806","Corolla","mo-746","(120) Hatchback (fab. GB) (11/2001 - 02/2007)","11/2001","02/2007","9272","TOYOTA Corolla","TOYOTA Corolla (120) Hatchback (fab. GB) TS 1.8 i 16V 224cv","Essence"
"ma-220","TOYOTA","fa-806","Corolla","mo-746","(120) Hatchback (fab. GB) (11/2001 - 02/2007)","11/2001","02/2007","9341","TOYOTA Corolla","TOYOTA Corolla (120) Hatchback (fab. GB) 2.0 D4-D 16V 116cv","Diesel"
"ma-220","TOYOTA","fa-806","Corolla","mo-739","(100) (05/1992 - 04/1997)","05/1992","04/1997","18192","TOYOTA Corolla","TOYOTA Corolla (100) 2.0 D Liftback 67cv","Diesel"
"ma-220","TOYOTA","fa-806","Corolla","mo-739","(100) (05/1992 - 04/1997)","05/1992","04/1997","13010","TOYOTA Corolla","TOYOTA Corolla (100) 2.0 D Berline 67cv","Diesel"
"ma-220","TOYOTA","fa-806","Corolla","mo-739","(100) (05/1992 - 04/1997)","05/1992","04/1997","18190","TOYOTA Corolla","TOYOTA Corolla (100) 1.3 16V Berline 88cv Caixa Automática","Essence"
"ma-220","TOYOTA","fa-806","Corolla","mo-739","(100) (05/1992 - 04/1997)","05/1992","04/1997","13003","TOYOTA Corolla","TOYOTA Corolla (100) 1.3 12V Hatchback 72cv","Essence"
"ma-220","TOYOTA","fa-806","Corolla","mo-739","(100) (05/1992 - 04/1997)","05/1992","04/1997","13005","TOYOTA Corolla","TOYOTA Corolla (100) 1.3 16V Hatchback 88cv Caixa Automática","Essence"
"ma-220","TOYOTA","fa-806","Corolla","mo-739","(100) (05/1992 - 04/1997)","05/1992","04/1997","18191","TOYOTA Corolla","TOYOTA Corolla (100) 1.6 16V Hatchback 114cv","Essence"
