"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-263","TRIUMPH","fa-1376","SPITFIRE","mo-3152"," (10/1962 - 01/1980)","10/1962","01/1980","27186","TRIUMPH SPITFIRE","TRIUMPH SPITFIRE 1500 69 cv","Gasolina"
"ma-263","TRIUMPH","fa-1376","SPITFIRE","mo-3152"," (10/1962 - 01/1980)","10/1962","01/1980","27622","TRIUMPH SPITFIRE","TRIUMPH SPITFIRE 1.3 MK III 75 cv","Gasolina"
"ma-263","TRIUMPH","fa-1376","SPITFIRE","mo-3152"," (10/1962 - 01/1980)","10/1962","01/1980","27219","TRIUMPH SPITFIRE","TRIUMPH SPITFIRE 1.5 MK IV 69 cv","Gasolina"
"ma-263","TRIUMPH","fa-1376","SPITFIRE","mo-3152"," (10/1962 - 01/1980)","10/1962","01/1980","27552","TRIUMPH SPITFIRE","TRIUMPH SPITFIRE 1.3 MK IV 76 cv","Gasolina"
"ma-263","TRIUMPH","fa-1376","SPITFIRE","mo-3152"," (10/1962 - 01/1980)","10/1962","01/1980","27407","TRIUMPH SPITFIRE","TRIUMPH SPITFIRE 1.2 MK II 67 cv","Gasolina"
"ma-263","TRIUMPH","fa-1376","SPITFIRE","mo-3152"," (10/1962 - 01/1980)","10/1962","01/1980","27427","TRIUMPH SPITFIRE","TRIUMPH SPITFIRE 1.2 MK I 63 cv","Gasolina"
"ma-263","TRIUMPH","fa-1389","TR 7","mo-3169"," (01/1979 - 01/1981)","01/1979","01/1981","27387","TRIUMPH TR 7","TRIUMPH TR 7 2.0 106 cv","Gasolina"
"ma-263","TRIUMPH","fa-1389","TR 7","mo-3170","Coupe (01/1975 - 12/1981)","01/1975","12/1981","27339","TRIUMPH TR 7","TRIUMPH TR 7 Coupe 2.0 93 cv","Gasolina"
"ma-263","TRIUMPH","fa-1389","TR 7","mo-3170","Coupe (01/1975 - 12/1981)","01/1975","12/1981","27475","TRIUMPH TR 7","TRIUMPH TR 7 Coupe 2.0 106 cv","Gasolina"
"ma-263","TRIUMPH","fa-1282","ACCLAIM","mo-2985"," (10/1981 - 12/1985)","10/1981","12/1985","27424","TRIUMPH ACCLAIM","TRIUMPH ACCLAIM 1.3 (XD) 69 cv","Gasolina"
