"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","18651","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 1.8 i 113cv Familiar Transmisión automática","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","23680","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 1.8 i 125cv Familiar","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","23685","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 2.2 i 147cv Familiar Transmisión automática","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","10003","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 2.5 i V6 170cv Familiar","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","23681","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 1.8 i 125cv Familiar Transmisión automática","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","10001","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 1.8 i 113cv Familiar","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","10004","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 2.5 i V6 195cv Familiar","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","23684","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 2.2 i 147cv Familiar","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","9998","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 2.2 DTI 125cv Familiar","Diesel"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","23682","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 2.0 i 136cv Familiar","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","10005","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 2.5 i V6 170cv Familiar Transmisión automática","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","10006","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 2.6 i V6 170cv Familiar","Gasolina"
"ma-226","VAUXHALL","fa-953","Vectra","mo-2343","Familiar (10/1996 - 03/2002)","10/1996","03/2002","18652","VAUXHALL Vectra","VAUXHALL Vectra Familiar Vectra 2.0 Di 82cv Familiar","Diesel"
