"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2895"," (01/1963 - 10/1979)","01/1963","10/1979","26272","VAUXHALL VIVA","VAUXHALL VIVA 1256 58 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2895"," (01/1963 - 10/1979)","01/1963","10/1979","26268","VAUXHALL VIVA","VAUXHALL VIVA 1600 72 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2895"," (01/1963 - 10/1979)","01/1963","10/1979","26276","VAUXHALL VIVA","VAUXHALL VIVA 2300 110 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2895"," (01/1963 - 10/1979)","01/1963","10/1979","26245","VAUXHALL VIVA","VAUXHALL VIVA 1100 SL90 60 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2895"," (01/1963 - 10/1979)","01/1963","10/1979","26244","VAUXHALL VIVA","VAUXHALL VIVA 1100 45 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2895"," (01/1963 - 10/1979)","01/1963","10/1979","26274","VAUXHALL VIVA","VAUXHALL VIVA 1600 69 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2895"," (01/1963 - 10/1979)","01/1963","10/1979","26267","VAUXHALL VIVA","VAUXHALL VIVA 1100 48 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2895"," (01/1963 - 10/1979)","01/1963","10/1979","26269","VAUXHALL VIVA","VAUXHALL VIVA 2000 GT 106 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2895"," (01/1963 - 10/1979)","01/1963","10/1979","26275","VAUXHALL VIVA","VAUXHALL VIVA 1800 78 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2895"," (01/1963 - 10/1979)","01/1963","10/1979","26273","VAUXHALL VIVA","VAUXHALL VIVA 1300 58 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2897","Coupé (01/1971 - 10/1975)","01/1971","10/1975","26277","VAUXHALL VIVA","VAUXHALL VIVA Coupé 1256 E 58 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2896","Break (01/1965 - 10/1978)","01/1965","10/1978","26280","VAUXHALL VIVA","VAUXHALL VIVA Break 1600 69 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2896","Break (01/1965 - 10/1978)","01/1965","10/1978","26279","VAUXHALL VIVA","VAUXHALL VIVA Break 1300 58 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2896","Break (01/1965 - 10/1978)","01/1965","10/1978","26282","VAUXHALL VIVA","VAUXHALL VIVA Break 2300 110 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2896","Break (01/1965 - 10/1978)","01/1965","10/1978","26278","VAUXHALL VIVA","VAUXHALL VIVA Break 1256 58 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2896","Break (01/1965 - 10/1978)","01/1965","10/1978","26271","VAUXHALL VIVA","VAUXHALL VIVA Break 1100 SL90 60 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2896","Break (01/1965 - 10/1978)","01/1965","10/1978","26270","VAUXHALL VIVA","VAUXHALL VIVA Break 1100 48 cv","Essence"
"ma-226","VAUXHALL","fa-1222","VIVA","mo-2896","Break (01/1965 - 10/1978)","01/1965","10/1978","26281","VAUXHALL VIVA","VAUXHALL VIVA Break 1800 78 cv","Essence"
"ma-226","VAUXHALL","fa-930","Astra","mo-2286","MK IV Hatchback(F08/F48) (02/1998 - 02/2004)","02/1998","02/2004","63577","VAUXHALL Astra","VAUXHALL Astra MK IV Hatchback(F08/F48) 1.6 i Dualfuel 86 cv Caixa Automática","GPL"
"ma-226","VAUXHALL","fa-930","Astra","mo-2286","MK IV Hatchback(F08/F48) (02/1998 - 02/2004)","02/1998","02/2004","13315","VAUXHALL Astra","VAUXHALL Astra MK IV Hatchback(F08/F48) 1.7 DTi 16V 75 cv","Diesel"
"ma-226","VAUXHALL","fa-930","Astra","mo-2286","MK IV Hatchback(F08/F48) (02/1998 - 02/2004)","02/1998","02/2004","63579","VAUXHALL Astra","VAUXHALL Astra MK IV Hatchback(F08/F48) 1.6 i Dualfuel 85 cv","GPL"
"ma-226","VAUXHALL","fa-930","Astra","mo-2286","MK IV Hatchback(F08/F48) (02/1998 - 02/2004)","02/1998","02/2004","18475","VAUXHALL Astra","VAUXHALL Astra MK IV Hatchback(F08/F48) 2.0 SRi 16V Turbo 200 cv","Essence"
"ma-226","VAUXHALL","fa-930","Astra","mo-2286","MK IV Hatchback(F08/F48) (02/1998 - 02/2004)","02/1998","02/2004","13314","VAUXHALL Astra","VAUXHALL Astra MK IV Hatchback(F08/F48) 1.4 i 16V 90 cv","Essence"
"ma-226","VAUXHALL","fa-930","Astra","mo-2286","MK IV Hatchback(F08/F48) (02/1998 - 02/2004)","02/1998","02/2004","23522","VAUXHALL Astra","VAUXHALL Astra MK IV Hatchback(F08/F48) 1.7 CDTi 16V 80 cv","Diesel"
"ma-226","VAUXHALL","fa-930","Astra","mo-2286","MK IV Hatchback(F08/F48) (02/1998 - 02/2004)","02/1998","02/2004","63581","VAUXHALL Astra","VAUXHALL Astra MK IV Hatchback(F08/F48) 1.6 i 16V Twinport 103 cv","Essence"
"ma-226","VAUXHALL","fa-930","Astra","mo-2286","MK IV Hatchback(F08/F48) (02/1998 - 02/2004)","02/1998","02/2004","9843","VAUXHALL Astra","VAUXHALL Astra MK IV Hatchback(F08/F48) 1.6 i 85 cv","Essence"
