brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,23831,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.9 TDi 150cv,Diesel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,23827,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.8 i 20V 125cv Boîte auto,Essence
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,23826,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.8 i 20V 125cv,Essence
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,47617,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 2.0 i GPL 115 cv,Flex Fuel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,18814,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.9 TDi 110cv Boîte auto,Diesel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,18815,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.9 TDi 115cv Boîte auto,Diesel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,23832,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.9 TDi 130cv Boîte auto,Diesel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,10509,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.9 TDi 130cv,Diesel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,23830,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.9 TDi 115cv,Diesel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,13648,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.9 TDi 90cv Boîte auto,Diesel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,13644,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.9 SDi 68cv,Diesel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,13650,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 2.0 i 115cv Boîte auto,Essence
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,18811,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.8 i Turbo 20V 150cv,Essence
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,18813,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.9 TDi 100cv Boîte auto,Diesel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,10507,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.6 i 102cv Boîte auto,Essence
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,23829,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.8 i Turbo 20V 150cv Boîte auto,Essence
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,13642,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.4 i 16V 75cv,Essence
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,18812,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 1.9 TDi 90cv,Diesel
ma-230,VOLKSWAGEN,fa-837,Golf,mo-1034,IV (10/1997 - 05/2004),10/1997,05/2004,10510,VOLKSWAGEN Golf,VOLKSWAGEN Golf IV 2.3 i V5 10V 150cv Boîte auto,Essence
