brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,11766,VOLVO S60,VOLVO S60 2.0 i Turbo Berlina 180cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,24468,VOLVO S60,VOLVO S60 D5 2.4 TDi Berlina 126cv,Diesel
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,14482,VOLVO S60,VOLVO S60 2.4 i Berlina 140cv Transmisión automática,GPL
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,14486,VOLVO S60,VOLVO S60 R 2.5 i Turbo Berlina 300cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,11769,VOLVO S60,VOLVO S60 D5 2.4 TDi Berlina 116cv,Diesel
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,11768,VOLVO S60,VOLVO S60 2.4 i Turbo Berlina 200cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,14481,VOLVO S60,VOLVO S60 2.4 i Berlina 140cv,GPL
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,25146,VOLVO S60,VOLVO S60 2.5 i Turbo 4x4 Berlina 210cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,11773,VOLVO S60,VOLVO S60 T5 2.4 i Berlina 260cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,14487,VOLVO S60,VOLVO S60 T5 2.4 i Berlina 260cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,19430,VOLVO S60,VOLVO S60 D5 2.4 TDi Berlina 185cv,Diesel
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,19426,VOLVO S60,VOLVO S60 2.0 i Turbo Berlina 180cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,25018,VOLVO S60,VOLVO S60 2.4 i Turbo 4x4 Berlina 200cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,24464,VOLVO S60,VOLVO S60 2.4 i GPL Berlina 140cv,GPL
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,19428,VOLVO S60,VOLVO S60 2.4 i Turbo Berlina 200cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,24463,VOLVO S60,VOLVO S60 2.3 i Turbo Berlina 250cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,19427,VOLVO S60,VOLVO S60 2.4 i Berlina 170cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,14483,VOLVO S60,VOLVO S60 D5 2.4 TDi Berlina 163cv,Diesel
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,24469,VOLVO S60,VOLVO S60 D5 2.4 TDi Berlina 126cv Transmisión automática,Diesel
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,14485,VOLVO S60,VOLVO S60 D5 2.4 TDi Berlina 185cv Geartronic Transmisión automática,Diesel
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,11771,VOLVO S60,VOLVO S60 D5 2.4 TDi Berlina 130cv Transmisión automática,Diesel
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,24465,VOLVO S60,VOLVO S60 2.4 i GPL Berlina 140cv Transmisión automática,GPL
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,14479,VOLVO S60,VOLVO S60 2.4 i Berlina 140cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,11772,VOLVO S60,VOLVO S60 R 2.5 i Turbo Berlina 300cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,14484,VOLVO S60,VOLVO S60 D5 2.4 TDi Berlina 163cv Transmisión automática,Diesel
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,11767,VOLVO S60,VOLVO S60 2.4 i Berlina 170cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,14480,VOLVO S60,VOLVO S60 2.4 i Berlina 140cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,11770,VOLVO S60,VOLVO S60 D5 2.4 TDi Berlina 122cv,Diesel
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,24466,VOLVO S60,VOLVO S60 2.5 i Turbo Berlina 210cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,24467,VOLVO S60,VOLVO S60 2.5 i Turbo Berlina 210cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,24807,VOLVO S60,VOLVO S60 2.4 i Turbo 4x4 Berlina 200cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,24462,VOLVO S60,VOLVO S60 2.3 i Turbo Berlina 250cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,25147,VOLVO S60,VOLVO S60 2.5 i Turbo 4x4 Berlina 210cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-1772, (08/2000 - 03/2009),08/2000,03/2009,19429,VOLVO S60,VOLVO S60 D5 2.4 TDi Berlina 130cv,Diesel
ma-231,VOLVO,fa-878,S60,mo-4887,II (Berlina) (04/2010 - 09/2013),04/2010,09/2013,39588,VOLVO S60,VOLVO S60 II (Berlina) D3 2.0 TDi DPF 136 Berlina 20V S&S 136 cv,Diesel
ma-231,VOLVO,fa-878,S60,mo-4887,II (Berlina) (04/2010 - 09/2013),04/2010,09/2013,34052,VOLVO S60,VOLVO S60 II (Berlina) T4F 1.6 Ti 16V Powershift Flexifuel S&S 180 cv Transmisión automática,Flex Fuel
ma-231,VOLVO,fa-878,S60,mo-4887,II (Berlina) (04/2010 - 09/2013),04/2010,09/2013,32408,VOLVO S60,VOLVO S60 II (Berlina) D5 2.4 TDi 20V Geartronic 205 cv Transmisión automática,Diesel
ma-231,VOLVO,fa-878,S60,mo-4887,II (Berlina) (04/2010 - 09/2013),04/2010,09/2013,42064,VOLVO S60,VOLVO S60 II (Berlina) T3 1.6 Ti 150 Berlina 16V Powershift S&S 150 cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-4887,II (Berlina) (04/2010 - 09/2013),04/2010,09/2013,32415,VOLVO S60,VOLVO S60 II (Berlina) T5 2.0 Ti 16V 240 cv,Gasolina
ma-231,VOLVO,fa-878,S60,mo-4887,II (Berlina) (04/2010 - 09/2013),04/2010,09/2013,34047,VOLVO S60,VOLVO S60 II (Berlina) D5 2.4 TDi DPF 20V Geartronic S&S 215 cv Transmisión automática,Diesel
ma-231,VOLVO,fa-878,S60,mo-4887,II (Berlina) (04/2010 - 09/2013),04/2010,09/2013,34053,VOLVO S60,VOLVO S60 II (Berlina) T5 2.5 Ti 20V Geartronic 250 cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-4887,II (Berlina) (04/2010 - 09/2013),04/2010,09/2013,32417,VOLVO S60,VOLVO S60 II (Berlina) T6 3.0 Ti AWD 24V Geartronic 304 cv Transmisión automática,Gasolina
ma-231,VOLVO,fa-878,S60,mo-4887,II (Berlina) (04/2010 - 09/2013),04/2010,09/2013,39590,VOLVO S60,VOLVO S60 II (Berlina) Drive 1.6 d DPF 115 Berlina Powershift 115 cv Transmisión automática,Diesel
